ID,numRadar,ubicacion,carretera,Ubicación carretera,pk,sentido,tipo,carril,Longitud inicio tramo,Latitud inicio tramo,X (WGS84),Y (WGS84),Longitud,Latitud,velocidadLimite,responsable
b2bee941-2a0b-4140-bddb-ad1143daa179,1,"M-30, ENTRADA DE LA A-1, SENTIDO PUENTE DE VENTAS P.K. 0,500",M-30,00NC50,0+500,Calzada interior,Fijo,Fijo carril 4,NULL,NULL,442843.0,4481180.0,-3.67433808,40.47934148,90,DGP
ab496ab3-29db-4718-bbb3-c399158e8190,2,"M-30, ENTRADA DE LA A-1, SENTIDO PUENTE DE VENTAS P.K. 0,500",M-30,00NC50,0+500,Calzada interior,Fijo,Fijo carril 5,NULL,NULL,442847.0,4481180.0,-3.67429089,40.47934175,90,DGP
f5fed44b-fe13-41d8-9f3e-66fe26aceef2,3,"PASO INFERIOR COSTA RICA, SENTIDO PRÍNCIPE DE VERGARA",PASO INFERIOR (Túnel),NULL,NULL,NULL,Fijo,Todos,NULL,NULL,443295.0,4478910.0,-3.66880283,40.45892328,50,DGP
a499522b-cadf-453d-ba6f-e04e61944086,4,"M-30, PTE. DE VENTAS. SENTIDO SUR A O´DONNELL P.K. 6,700",M-30,M-30,6+700,Tronco calzada interior,Fijo,Fijo carril 1,NULL,NULL,444002.0,4475270.0,-3.66014384,40.42618023,90,DGP
198699f7-04eb-42a7-b77f-aeaea486261b,5,"M-30, PTE. DE VENTAS. SENTIDO SUR A O´DONNELL P.K. 6,700",M-30,M-30,6+700,Tronco calzada interior,Fijo,Fijo carril 3,NULL,NULL,444009.0,4475271.0,-3.66006141,40.42618971,90,DGP
9cff7b18-141f-4e13-a7a5-50e1f3693826,6,"M-30, ENLACE O´DONNELL SENTIDO NORTE A PTE. DE VENTAS PK 7,800",M-30,M-30,7+800,Tronco calzada exterior,Fijo,Fijo carril 2,NULL,NULL,444069.0,4474210.0,-3.65926082,40.41663568,90,DGP
34adc3cc-09bf-4e01-a188-ec9230f6da68,7,"M-30, ENLACE O´DONNELL SENTIDO NORTE A PTE. DE VENTAS PK 7,800",M-30,M-30,7+800,Tronco calzada exterior,Fijo,Fijo carril 3,NULL,NULL,444066.0,4474211.0,-3.65929627,40.41664449,90,DGP
05a7dba0-a8be-4c65-a531-60d4cb465050,8,"TÚNEL BAIPÁS, SENTIDO NORTE A PTE. DE VENTAS (MÉNDEZ ÁLVARO-AVDA. DEL METITARRÁNEO)",M-30,10XC30,10+300,Calzada exterior,Fijo,Fijo carril 1,NULL,NULL,NULL,NULL,-3.670048,40.397352,70,DGP
a69555de-ab6b-4294-a168-253d34d75000,9,"TÚNEL BAIPÁS, SENTIDO NORTE A PTE. DE VENTAS (MÉNDEZ ÁLVARO-AVDA. DEL METITARRÁNEO)",M-30,10XC30,10+300,Calzada exterior,Fijo,Fijo carril 3,NULL,NULL,NULL,NULL,-3.669973,40.397323,70,DGP
516b7c7c-13d5-4ff5-981f-465f21ee4a5a,10,"ENTRADA TÚNEL M-30, DESDE NUDO SUR HACIA PTE. DE LOS FRANCESES",M-30,13NL25,13+250,Calzada interior,Fijo,Fijo carril 3,NULL,NULL,NULL,NULL,-3.69499826,40.38678654,90,DGP
