ID,DISTRITO,BARRIO,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
331558760,Retiro,PACIFICO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
444893737,Salamanca,GUINDALERA,TURISMO,Cero Emisiones,ELECTRICO
00286980,--,--,CAMION,Cero Emisiones,ELECTRICO
445343846,Salamanca,LISTA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
114350630,Centro,JUSTICIA,TURISMO,Cero Emisiones,ELECTRICO
883993816,Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
00546956,--,--,CAMION,Cero Emisiones,ELECTRICO
00898273,--,--,CAMION,Cero Emisiones,ELECTRICO
20201834093,San Blas - Canillejas,SIMANCAS,TURISMO,Cero Emisiones,ELECTRICO
00670636,--,--,CAMION,Cero Emisiones,ELECTRICO
16163526397,Hortaleza,CANILLAS,TURISMO,Cero Emisiones,ELECTRICO
00238154,--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
00968985,--,--,TURISMO,Cero Emisiones,ELECTRICO
00501395,--,--,TURISMO,Cero Emisiones,ELECTRICO
00967475,--,--,TURISMO,Cero Emisiones,ELECTRICO
00892589,--,--,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
00189534,--,--,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
00672579,--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
00322393,--,--,TURISMO,Cero Emisiones,ELECTRICO
00624923,--,--,TURISMO,Cero Emisiones,ELECTRICO
00110200,--,--,TURISMO,Cero Emisiones,ELECTRICO
00714526,--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
00988872,--,--,TURISMO,Cero Emisiones,ELECTRICO
00995918,--,--,TURISMO,Cero Emisiones,ELECTRICO
0019014,--,--,TURISMO,Cero Emisiones,ELECTRICO
00465205,--,--,TURISMO,Cero Emisiones,ELECTRICO
00253168,--,--,TURISMO,Cero Emisiones,ELECTRICO
00574964,--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
