DISTRITO,BARRIO,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
Retiro,PACIFICO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,GUINDALERA,TURISMO,Cero Emisiones,ELECTRICO
--,--,CAMION,Cero Emisiones,ELECTRICO
Salamanca,LISTA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,JUSTICIA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,CAMION,Cero Emisiones,ELECTRICO
--,--,CAMION,Cero Emisiones,ELECTRICO
San Blas - Canillejas,SIMANCAS,TURISMO,Cero Emisiones,ELECTRICO
--,--,CAMION,Cero Emisiones,ELECTRICO
Hortaleza,CANILLAS,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
--,--,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Chamartin,EL VISO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
--,--,CAMION,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Centro,PALACIO,TURISMO,Cero Emisiones,ELECTRICO
Centro,PALACIO,TURISMO,Cero Emisiones,ELECTRICO
Centro,PALACIO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,PALACIO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,PALACIO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,EMBAJADORES,TURISMO,Cero Emisiones,ELECTRICO
Centro,EMBAJADORES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
--,--,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,TURISMO,Cero Emisiones,ELECTRICO
--,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Centro,EMBAJADORES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,EMBAJADORES,TURISMO,Cero Emisiones,ELECTRICO
Centro,EMBAJADORES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,EMBAJADORES,TURISMO,Cero Emisiones,ELECTRICO
Centro,CORTES,TURISMO,Cero Emisiones,ELECTRICO
Centro,CORTES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,CORTES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,CORTES,TURISMO,Cero Emisiones,ELECTRICO
Centro,JUSTICIA,TURISMO,Cero Emisiones,ELECTRICO
Centro,JUSTICIA,TURISMO,Cero Emisiones,ELECTRICO
Centro,JUSTICIA,TURISMO,Cero Emisiones,ELECTRICO
Centro,JUSTICIA,TURISMO,Cero Emisiones,ELECTRICO
Centro,JUSTICIA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,JUSTICIA,TURISMO,Cero Emisiones,ELECTRICO
Centro,JUSTICIA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,JUSTICIA,TURISMO,Cero Emisiones,ELECTRICO
Centro,UNIVERSIDAD,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,UNIVERSIDAD,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
Centro,SOL,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,SOL,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,SOL,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
--,--,CAMION,Cero Emisiones,ELECTRICO
--,--,CAMION,Cero Emisiones,ELECTRICO
Arganzuela,--,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,IMPERIAL,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Arganzuela,IMPERIAL,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Arganzuela,IMPERIAL,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,IMPERIAL,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,ACACIAS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Arganzuela,ACACIAS,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,ACACIAS,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,ACACIAS,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,ACACIAS,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,ACACIAS,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
Arganzuela,ACACIAS,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,ACACIAS,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
--,--,CAMION,Cero Emisiones,ELECTRICO
--,--,CAMION,Cero Emisiones,ELECTRICO
Centro,PALACIO,TURISMO,Cero Emisiones,ELECTRICO
Centro,PALACIO,TURISMO,Cero Emisiones,ELECTRICO
Centro,PALACIO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,PALACIO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,PALACIO,TURISMO,Cero Emisiones,ELECTRICO
Centro,PALACIO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,PALACIO,TURISMO,Cero Emisiones,ELECTRICO
Centro,PALACIO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,PALACIO,TURISMO,Cero Emisiones,ELECTRICO
Centro,PALACIO,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,CHOPERA,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,CHOPERA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Arganzuela,CHOPERA,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,CHOPERA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Arganzuela,CHOPERA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Arganzuela,LEGAZPI,CAMION,Cero Emisiones,ELECTRICO
Centro,EMBAJADORES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,EMBAJADORES,TURISMO,Cero Emisiones,ELECTRICO
Centro,EMBAJADORES,TURISMO,Cero Emisiones,ELECTRICO
Centro,EMBAJADORES,TURISMO,Cero Emisiones,ELECTRICO
Centro,EMBAJADORES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,EMBAJADORES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,EMBAJADORES,TURISMO,Cero Emisiones,ELECTRICO
Centro,EMBAJADORES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Centro,EMBAJADORES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Arganzuela,LEGAZPI,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,LEGAZPI,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,LEGAZPI,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,LEGAZPI,TURISMO,Cero Emisiones,ELECTRICO
Arganzuela,LEGAZPI,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Arganzuela,LEGAZPI,TURISMO,Cero Emisiones,ELECTRICO
Centro,PALACIO,TURISMO,Sin distintivo Ambiental,HIBRIDO ENCHUFABLES PHEV
Centro,EMBAJADORES,CAMION,Cero Emisiones,ELECTRICO
Centro,EMBAJADORES,TURISMO,Cero Emisiones,ELECTRICO
Centro,EMBAJADORES,TURISMO,Cero Emisiones,ELECTRICO
