OID_,DISTRITO,BARRIO,LATITUD,LONGITUD,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,GESTIÓN
3730,Arganzuela,PalosDeMoguer,40.4057204,-3.6995075,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3731,Retiro,Adelfas,40.40014545,-3.6752149432657397,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3732,Retiro,Jeronimos,40.4192082,-3.6888851,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3733,Salamanca,Recoletos,40.4249657,-3.6810768,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3734,Salamanca,Goya,40.4246541,-3.6712666,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3735,Salamanca,Castellana,40.4350772,-3.6807422,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3736,Salamanca,Guindalera,40.43409345,-3.6706180484282145,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3737,Latina,CuatroVientos,40.37308233715542,-3.7722504853189975,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,Convenio cesión
3738,Vicalvaro,Valdebernardo,40.39767155,-3.6207708500000013,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,Concesión demanial
3739,Chamartin,Hispanoamerica,40.4588374,-3.667204,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3740,Salamanca,Castellana,40.4292455,-3.683721,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3741,Salamanca,Castellana,40.4356993,-3.6882216,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3742,Chamartin,ElViso,40.4454625,-3.6907904,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
