OID_,DISTRITO,same_as_wikidata_distrito,BARRIO,same_as_wikidata_barrio,LATITUD,LONGITUD,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,same_as_wikidata_operador,GESTIÓN
3730,Arganzuela,https://wikidata.org/entity/Q2000929,PalosDeMoguer,https://wikidata.org/entity/Q521009,40.4057204,-3.6995075,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Convenio vía pública
3731,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,40.40014545,-3.6752149432657397,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Convenio vía pública
3732,Retiro,https://wikidata.org/entity/Q2002296,Jeronimos,https://wikidata.org/entity/Q10306766,40.4192082,-3.6888851,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio vía pública
3733,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,40.4249657,-3.6810768,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Convenio vía pública
3734,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,40.4246541,-3.6712666,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio vía pública
3735,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,40.4350772,-3.6807422,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Convenio vía pública
3736,Salamanca,https://wikidata.org/entity/Q1773521,Guindalera,https://wikidata.org/entity/Q3814559,40.43409345,-3.6706180484282145,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,https://wikidata.org/entity/Q1275336,Convenio cesión
3737,Latina,https://wikidata.org/entity/Q794954,CuatroVientos,https://wikidata.org/entity/Q5191881,40.37308233715542,-3.7722504853189975,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Convenio cesión
3738,Vicalvaro,https://wikidata.org/entity/Q589403,Valdebernardo,https://wikidata.org/entity/Q43025212,40.39767155,-3.6207708500000013,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Concesión demanial
3739,Chamartin,https://wikidata.org/entity/Q1766348,Hispanoamerica,https://wikidata.org/entity/Q3814573,40.4588374,-3.667204,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3740,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,40.4292455,-3.683721,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio vía pública
3741,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,40.4356993,-3.6882216,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio vía pública
