ID,DISTRITO,BARRIO,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
331348445,Retiro,PACIFICO,TURISMO,CeroEmisiones,PHEV
444477231,Salamanca,GUINDALERA,TURISMO,CeroEmisiones,ELECTRICO
00339229,--,--,CAMION,CeroEmisiones,ELECTRICO
445473441,Salamanca,LISTA,TURISMO,CeroEmisiones,PHEV
114451237,Centro,JUSTICIA,TURISMO,CeroEmisiones,ELECTRICO
883465762,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
00300402,--,--,CAMION,CeroEmisiones,ELECTRICO
00402692,--,--,CAMION,CeroEmisiones,ELECTRICO
20201113748,San Blas-Canillejas,SIMANCAS,TURISMO,CeroEmisiones,ELECTRICO
00119042,--,--,CAMION,CeroEmisiones,ELECTRICO
1616349992,Hortaleza,CANILLAS,TURISMO,CeroEmisiones,ELECTRICO
00487623,--,--,TURISMO,CeroEmisiones,PHEV
00504591,--,--,TURISMO,CeroEmisiones,ELECTRICO
00312824,--,--,TURISMO,CeroEmisiones,ELECTRICO
00340496,--,--,TURISMO,CeroEmisiones,ELECTRICO
00486443,--,--,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00428408,--,--,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00860825,--,--,TURISMO,CeroEmisiones,PHEV
00375800,--,--,TURISMO,CeroEmisiones,ELECTRICO
00357105,--,--,TURISMO,CeroEmisiones,ELECTRICO
00325913,--,--,TURISMO,CeroEmisiones,ELECTRICO
00663228,--,--,TURISMO,CeroEmisiones,PHEV
00298453,--,--,TURISMO,CeroEmisiones,ELECTRICO
00528858,--,--,TURISMO,CeroEmisiones,ELECTRICO
00145950,--,--,TURISMO,CeroEmisiones,ELECTRICO
00749355,--,--,TURISMO,CeroEmisiones,ELECTRICO
00241456,--,--,TURISMO,CeroEmisiones,ELECTRICO
0012074,--,--,TURISMO,CeroEmisiones,PHEV
0011468,--,--,TURISMO,CeroEmisiones,PHEV
00895397,--,--,TURISMO,CeroEmisiones,ELECTRICO
00778080,--,--,TURISMO,CeroEmisiones,ELECTRICO
00197937,--,--,TURISMO,CeroEmisiones,ELECTRICO
00378685,--,--,TURISMO,CeroEmisiones,ELECTRICO
00338717,--,--,TURISMO,CeroEmisiones,ELECTRICO
00155385,--,--,TURISMO,CeroEmisiones,ELECTRICO
00577739,--,--,TURISMO,CeroEmisiones,PHEV
0096064,--,--,TURISMO,CeroEmisiones,ELECTRICO
00525345,--,--,TURISMO,CeroEmisiones,ELECTRICO
00774585,--,--,TURISMO,CeroEmisiones,PHEV
00539830,--,--,TURISMO,ECO,PHEV
551461505,Chamartin,ELVISO,TURISMO,CeroEmisiones,PHEV
00665476,--,--,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00684805,--,--,TURISMO,CeroEmisiones,ELECTRICO
00852153,--,--,TURISMO,ECO,PHEV
00227531,--,--,TURISMO,ECO,PHEV
00335473,--,--,TURISMO,ECO,PHEV
00854081,--,--,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00796483,--,--,TURISMO,CeroEmisiones,ELECTRICO
00534562,--,--,TURISMO,CeroEmisiones,PHEV
00356418,--,--,TURISMO,CeroEmisiones,ELECTRICO
00354574,--,--,TURISMO,CeroEmisiones,ELECTRICO
00427971,--,--,TURISMO,CeroEmisiones,ELECTRICO
00801843,--,--,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00686170,--,--,TURISMO,CeroEmisiones,ELECTRICO
00151682,--,--,TURISMO,CeroEmisiones,PHEV
00500841,--,--,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
0093910,--,--,TURISMO,ECO,PHEV
00978311,--,--,TURISMO,ECO,PHEV
00963233,--,--,TURISMO,ECO,PHEV
00535583,--,--,CAMION,CeroEmisiones,PHEV
00802760,--,--,TURISMO,CeroEmisiones,ELECTRICO
00233366,--,--,TURISMO,CeroEmisiones,ELECTRICO
00355240,--,--,TURISMO,CeroEmisiones,ELECTRICO
00566941,--,--,TURISMO,CeroEmisiones,PHEV
00883844,--,--,TURISMO,CeroEmisiones,ELECTRICO
00562198,--,--,TURISMO,CeroEmisiones,ELECTRICO
00739454,--,--,TURISMO,CeroEmisiones,ELECTRICO
00261809,--,--,TURISMO,CeroEmisiones,ELECTRICO
00460479,--,--,TURISMO,ECO,PHEV
00750705,--,--,TURISMO,ECO,PHEV
00397886,--,--,TURISMO,ECO,PHEV
111497848,Centro,PALACIO,TURISMO,CeroEmisiones,ELECTRICO
111780066,Centro,PALACIO,TURISMO,CeroEmisiones,ELECTRICO
111326108,Centro,PALACIO,TURISMO,CeroEmisiones,PHEV
111809970,Centro,PALACIO,TURISMO,CeroEmisiones,PHEV
111655396,Centro,PALACIO,TURISMO,CeroEmisiones,PHEV
112365273,Centro,EMBAJADORES,TURISMO,CeroEmisiones,ELECTRICO
112636428,Centro,EMBAJADORES,TURISMO,CeroEmisiones,PHEV
00353249,--,--,TURISMO,CeroEmisiones,PHEV
00428183,--,--,TURISMO,CeroEmisiones,ELECTRICO
00316880,--,--,TURISMO,CeroEmisiones,ELECTRICO
00945948,--,--,TURISMO,CeroEmisiones,ELECTRICO
00168509,--,--,TURISMO,CeroEmisiones,PHEV
00664571,--,--,TURISMO,CeroEmisiones,PHEV
00618545,--,--,TURISMO,CeroEmisiones,PHEV
00773142,--,--,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00819826,--,--,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00438138,--,--,TURISMO,CeroEmisiones,ELECTRICO
00584400,--,--,TURISMO,CeroEmisiones,ELECTRICO
0081325,--,--,TURISMO,CeroEmisiones,PHEV
00739231,--,--,TURISMO,CeroEmisiones,PHEV
00927010,--,--,TURISMO,CeroEmisiones,PHEV
00321426,--,--,TURISMO,CeroEmisiones,ELECTRICO
0020983,--,--,TURISMO,CeroEmisiones,PHEV
00995928,--,--,TURISMO,CeroEmisiones,PHEV
00844701,--,--,TURISMO,CeroEmisiones,PHEV
00990039,--,--,TURISMO,CeroEmisiones,PHEV
00182096,--,--,TURISMO,CeroEmisiones,ELECTRICO
00822589,--,--,TURISMO,ECO,PHEV
112992105,Centro,EMBAJADORES,TURISMO,CeroEmisiones,PHEV
112318644,Centro,EMBAJADORES,TURISMO,CeroEmisiones,ELECTRICO
112583771,Centro,EMBAJADORES,TURISMO,CeroEmisiones,PHEV
112162618,Centro,EMBAJADORES,TURISMO,CeroEmisiones,ELECTRICO
113276469,Centro,CORTES,TURISMO,CeroEmisiones,ELECTRICO
113580507,Centro,CORTES,TURISMO,CeroEmisiones,PHEV
11385457,Centro,CORTES,TURISMO,CeroEmisiones,PHEV
11332347,Centro,CORTES,TURISMO,CeroEmisiones,ELECTRICO
114339203,Centro,JUSTICIA,TURISMO,CeroEmisiones,ELECTRICO
114554064,Centro,JUSTICIA,TURISMO,CeroEmisiones,ELECTRICO
114159873,Centro,JUSTICIA,TURISMO,CeroEmisiones,ELECTRICO
114140397,Centro,JUSTICIA,TURISMO,CeroEmisiones,ELECTRICO
114148256,Centro,JUSTICIA,TURISMO,CeroEmisiones,PHEV
114599196,Centro,JUSTICIA,TURISMO,CeroEmisiones,ELECTRICO
11440109,Centro,JUSTICIA,TURISMO,CeroEmisiones,PHEV
114546653,Centro,JUSTICIA,TURISMO,CeroEmisiones,ELECTRICO
115643464,Centro,UNIVERSIDAD,TURISMO,CeroEmisiones,PHEV
115884557,Centro,UNIVERSIDAD,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
116222780,Centro,SOL,TURISMO,CeroEmisiones,PHEV
11696999,Centro,SOL,TURISMO,CeroEmisiones,PHEV
116985250,Centro,SOL,TURISMO,CeroEmisiones,PHEV
00300204,--,--,CAMION,CeroEmisiones,ELECTRICO
00766490,--,--,CAMION,CeroEmisiones,ELECTRICO
220422703,Arganzuela,--,TURISMO,CeroEmisiones,ELECTRICO
22132317,Arganzuela,IMPERIAL,TURISMO,CeroEmisiones,PHEV
221589125,Arganzuela,IMPERIAL,TURISMO,CeroEmisiones,PHEV
22174334,Arganzuela,IMPERIAL,TURISMO,CeroEmisiones,ELECTRICO
221465446,Arganzuela,IMPERIAL,TURISMO,CeroEmisiones,ELECTRICO
222594348,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,PHEV
222144447,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,ELECTRICO
222698125,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,ELECTRICO
222155462,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,ELECTRICO
222629399,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,ELECTRICO
22294608,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
222959677,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,ELECTRICO
222533537,Arganzuela,ACACIAS,TURISMO,ECO,PHEV
00778730,--,--,CAMION,CeroEmisiones,ELECTRICO
00320618,--,--,CAMION,CeroEmisiones,ELECTRICO
11196918,Centro,PALACIO,TURISMO,CeroEmisiones,ELECTRICO
111331447,Centro,PALACIO,TURISMO,CeroEmisiones,ELECTRICO
111681965,Centro,PALACIO,TURISMO,CeroEmisiones,PHEV
111844793,Centro,PALACIO,TURISMO,CeroEmisiones,PHEV
111569995,Centro,PALACIO,TURISMO,CeroEmisiones,ELECTRICO
111215922,Centro,PALACIO,TURISMO,CeroEmisiones,PHEV
