ID,DISTRITO,same_as_wikidata_distrito,BARRIO,same_as_wikidata_barrio,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
331348445,Retiro,https://wikidata.org/entity/Q2002296,PACIFICO,https://wikidata.org/entity/Q3773753,TURISMO,CeroEmisiones,PHEV
444477231,Salamanca,https://wikidata.org/entity/Q1773521,GUINDALERA,https://wikidata.org/entity/Q3814559,TURISMO,CeroEmisiones,ELECTRICO
00339229,--,,--,,CAMION,CeroEmisiones,ELECTRICO
445473441,Salamanca,https://wikidata.org/entity/Q1773521,LISTA,https://wikidata.org/entity/Q4779,TURISMO,CeroEmisiones,PHEV
114451237,Centro,https://wikidata.org/entity/Q1763376,JUSTICIA,https://wikidata.org/entity/Q1992319,TURISMO,CeroEmisiones,ELECTRICO
883465762,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,PENAGRANDE,https://wikidata.org/entity/Q3319582,TURISMO,CeroEmisiones,PHEV
00300402,--,,--,,CAMION,CeroEmisiones,ELECTRICO
00402692,--,,--,,CAMION,CeroEmisiones,ELECTRICO
20201113748,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,SIMANCAS,https://wikidata.org/entity/Q10371626,TURISMO,CeroEmisiones,ELECTRICO
00119042,--,,--,,CAMION,CeroEmisiones,ELECTRICO
1616349992,Hortaleza,https://wikidata.org/entity/Q1928529,CANILLAS,https://wikidata.org/entity/Q9694341,TURISMO,CeroEmisiones,ELECTRICO
00487623,--,,--,,TURISMO,CeroEmisiones,PHEV
00504591,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00312824,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00340496,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00486443,--,,--,,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00428408,--,,--,,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00860825,--,,--,,TURISMO,CeroEmisiones,PHEV
00375800,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00357105,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00325913,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00663228,--,,--,,TURISMO,CeroEmisiones,PHEV
00298453,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00528858,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00145950,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00749355,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00241456,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
0012074,--,,--,,TURISMO,CeroEmisiones,PHEV
0011468,--,,--,,TURISMO,CeroEmisiones,PHEV
00895397,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00778080,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00197937,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00378685,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00338717,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00155385,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00577739,--,,--,,TURISMO,CeroEmisiones,PHEV
0096064,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00525345,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00774585,--,,--,,TURISMO,CeroEmisiones,PHEV
00539830,--,,--,,TURISMO,ECO,PHEV
551461505,Chamartin,https://wikidata.org/entity/Q1766348,ELVISO,https://wikidata.org/entity/Q4778,TURISMO,CeroEmisiones,PHEV
00665476,--,,--,,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00684805,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00852153,--,,--,,TURISMO,ECO,PHEV
00227531,--,,--,,TURISMO,ECO,PHEV
00335473,--,,--,,TURISMO,ECO,PHEV
00854081,--,,--,,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00796483,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00534562,--,,--,,TURISMO,CeroEmisiones,PHEV
00356418,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00354574,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00427971,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00801843,--,,--,,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00686170,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00151682,--,,--,,TURISMO,CeroEmisiones,PHEV
00500841,--,,--,,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
0093910,--,,--,,TURISMO,ECO,PHEV
00978311,--,,--,,TURISMO,ECO,PHEV
00963233,--,,--,,TURISMO,ECO,PHEV
00535583,--,,--,,CAMION,CeroEmisiones,PHEV
00802760,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00233366,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00355240,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00566941,--,,--,,TURISMO,CeroEmisiones,PHEV
00883844,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00562198,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00739454,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00261809,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00460479,--,,--,,TURISMO,ECO,PHEV
00750705,--,,--,,TURISMO,ECO,PHEV
00397886,--,,--,,TURISMO,ECO,PHEV
111497848,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
111780066,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
111326108,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111809970,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111655396,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
