Id,Name,Type,Phase,Address,Status,Gender,Town,x,y
AbacusBelsizePrimarySchoolJubileeWatersideCentre,Abacus Belsize Primary School,Free Schools,Primary,Jubilee Waterside Centre,Open,Mixed,Camden,-0.131921,51.5382996
AbbeyCollege22GrosvenorGardens,Abbey College,Other Independent School,Not applicable,22 Grosvenor Gardens,Closed,Mixed,Westminster,-0.147187,51.4972
AbbeyPrimarySchoolGlastonburyRoad,Abbey Primary School,Community School,Primary,Glastonbury Road,Open,Mixed,Sutton,-0.198425,51.3839989
AbbotsburyPrimarySchoolAbbotsburyRoad,Abbotsbury Primary School,Community School,Primary,Abbotsbury Road,Open,Mixed,Merton,-0.195918,51.3950996
AbbotsfieldSchoolCliftonGardens,Abbotsfield School,Foundation School,Secondary,Clifton Gardens,Open,Boys,Hillingdon,-0.446964,51.5373993
AbbsCrossAcademyAndArtsCollegeAbbsCrossLane,Abbs Cross Academy And Arts College,Academy Converter,Secondary,Abbs Cross Lane,Open,Mixed,Havering,0.208172,51.553299
AbercornSchool28AbercornPlace,Abercorn School,Other Independent School,Not applicable,28 Abercorn Place,Open,Mixed,Westminster,-0.179742,51.5326996
AberdourPreparatorySchoolBrightonRoad,Aberdour Preparatory School,Other Independent School,Not applicable,Brighton Road,Open,Mixed,Reigate And Banstead,-0.21453,51.3106003
AbingdonHouseSchoolBroadleyTerrace,Abingdon House School,Other Independent Special School,Not applicable,Broadley Terrace,Open,Mixed,Westminster,-0.166718,51.5242004
"AcademyDeLondon1st,2nd&3rdFloors",Academy De London,Other Independent School,Not applicable,"1st, 2nd & 3rd Floors",Closed,Mixed,Waltham Forest,-0.0187974,51.5820007
AclandBurghleySchoolBurghleyRoad,Acland Burghley School,Community School,Secondary,Burghley Road,Open,Mixed,Camden,-0.141143,51.5574989
AcornHouseCollege39-47HighStreet,Acorn House College,Other Independent School,Not applicable,39-47 High Street,Open,Mixed,Ealing,-0.373508,51.5112
AcsCobhamInternationalSchoolHeywood,Acs Cobham International School,Other Independent School,Not applicable,Heywood,Open,Mixed,Elmbridge,-0.399553,51.3471985
AcsHillingdonInternationalSchool108VineLane,Acs Hillingdon International School,Other Independent School,Not applicable,108 Vine Lane,Open,Mixed,Hillingdon,-0.460622,51.5433006
ActonHighSchoolGunnersburyLane,Acton High School,Community School,Secondary,Gunnersbury Lane,Open,Mixed,Ealing,-0.280187,51.5049019
AdamsrillPrimarySchoolAdamsrillRoad,Adamsrill Primary School,Community School,Primary,Adamsrill Road,Open,Mixed,Lewisham,-0.0413856,51.4309006
Ad-deenPrimarySchoolEtonCommunityCentre,Ad-deen Primary School,Other Independent School,Not applicable,Eton Community Centre,Open,Mixed,Redbridge,0.0793811,51.5500984
AddeyAndStanhopeSchool472NewCrossRoad,Addey And Stanhope School,Voluntary Aided School,Secondary,472 New Cross Road,Open,Mixed,Lewisham,-0.0283064,51.4747009
AddisonPrimarySchoolAddisonGardens,Addison Primary School,Community School,Primary,Addison Gardens,Open,Mixed,Hammersmith And Fulham,-0.219219,51.4998016
AerodromePrimaryAcademyGoodwinRoad,Aerodrome Primary Academy,Academy Converter,Primary,Goodwin Road,Open,Mixed,Croydon,-0.109661,51.3605003
AinslieWoodPrimarySchool140AinslieWoodRoad,Ainslie Wood Primary School,Community School,Primary,140 Ainslie Wood Road,Open,Mixed,Waltham Forest,-0.010968,51.611599
AkivaSchool80EastEndRoad,Akiva School,Voluntary Aided School,Primary,80 East End Road,Open,Mixed,Barnet,-0.189341,51.5952988
AlAshraafSecondarySchool102-105WhitechapelHighStreet,Al Ashraaf Secondary School,Other Independent School,Not applicable,102-105 Whitechapel High Street,Open,Boys,Tower Hamlets,-0.0719216,51.5157013
Al-azharPrimarySchoolUnit1,Al-azhar Primary School,Other Independent School,Not applicable,Unit 1,Closed,Mixed,Tower Hamlets,-0.0273466,51.5149002
AlbemarlePrimarySchoolPrincesWay,Albemarle Primary School,Foundation School,Primary,Princes Way,Open,Mixed,Wandsworth,-0.213816,51.4418983
AlbionPrimarySchoolAlbionStreet,Albion Primary School,Community School,Primary,Albion Street,Open,Mixed,Southwark,-0.0516655,51.5
AldboroughPrimarySchool231AldboroughRoadSouth,Aldborough Primary School,Free Schools,Primary,231 Aldborough Road South,Open,Mixed,Redbridge,0.0952201,51.5708008
AlderbrookPrimarySchoolOldridgeRoad,Alderbrook Primary School,Community School,Primary,Oldridge Road,Open,Mixed,Wandsworth,-0.149874,51.4486008
