Id,Name,Type,Phase,Address,Status,Gender,Town,x,y
school_london_Abacus_Belsize_Primary_School,Abacus Belsize Primary School,Free Schools,Primary,Jubilee Waterside Centre,Open,Mixed,Camden,-0.131921,51.5382996
school_london_Abbey_College,Abbey College,Other Independent School,Not applicable,22 Grosvenor Gardens,Closed,Mixed,Westminster,-0.147187,51.4972
school_london_Abbey_Primary_School,Abbey Primary School,Community School,Primary,Glastonbury Road,Open,Mixed,Sutton,-0.198425,51.3839989
school_london_Abbotsbury_Primary_School,Abbotsbury Primary School,Community School,Primary,Abbotsbury Road,Open,Mixed,Merton,-0.195918,51.3950996
school_london_Abbotsfield_School,Abbotsfield School,Foundation School,Secondary,Clifton Gardens,Open,Boys,Hillingdon,-0.446964,51.5373993
school_london_Abbs_Cross_Academy_And_Arts_College,Abbs Cross Academy And Arts College,Academy Converter,Secondary,Abbs Cross Lane,Open,Mixed,Havering,0.208172,51.553299
school_london_Abercorn_School,Abercorn School,Other Independent School,Not applicable,28 Abercorn Place,Open,Mixed,Westminster,-0.179742,51.5326996
school_london_Aberdour_Preparatory_School,Aberdour Preparatory School,Other Independent School,Not applicable,Brighton Road,Open,Mixed,Reigate And Banstead,-0.21453,51.3106003
school_london_Abingdon_House_School,Abingdon House School,Other Independent Special School,Not applicable,Broadley Terrace,Open,Mixed,Westminster,-0.166718,51.5242004
school_london_Academy_De_London,Academy De London,Other Independent School,Not applicable,"1st, 2nd & 3rd Floors",Closed,Mixed,Waltham Forest,-0.0187974,51.5820007
school_london_Acland_Burghley_School,Acland Burghley School,Community School,Secondary,Burghley Road,Open,Mixed,Camden,-0.141143,51.5574989
school_london_Acorn_House_College,Acorn House College,Other Independent School,Not applicable,39-47 High Street,Open,Mixed,Ealing,-0.373508,51.5112
school_london_Acs_Cobham_International_School,Acs Cobham International School,Other Independent School,Not applicable,Heywood,Open,Mixed,Elmbridge,-0.399553,51.3471985
school_london_Acs_Hillingdon_International_School,Acs Hillingdon International School,Other Independent School,Not applicable,108 Vine Lane,Open,Mixed,Hillingdon,-0.460622,51.5433006
school_london_Acton_High_School,Acton High School,Community School,Secondary,Gunnersbury Lane,Open,Mixed,Ealing,-0.280187,51.5049019
school_london_Adamsrill_Primary_School,Adamsrill Primary School,Community School,Primary,Adamsrill Road,Open,Mixed,Lewisham,-0.0413856,51.4309006
school_london_Ad-deen_Primary_School,Ad-deen Primary School,Other Independent School,Not applicable,Eton Community Centre,Open,Mixed,Redbridge,0.0793811,51.5500984
school_london_Addey_And_Stanhope_School,Addey And Stanhope School,Voluntary Aided School,Secondary,472 New Cross Road,Open,Mixed,Lewisham,-0.0283064,51.4747009
school_london_Addison_Primary_School,Addison Primary School,Community School,Primary,Addison Gardens,Open,Mixed,Hammersmith And Fulham,-0.219219,51.4998016
school_london_Aerodrome_Primary_Academy,Aerodrome Primary Academy,Academy Converter,Primary,Goodwin Road,Open,Mixed,Croydon,-0.109661,51.3605003
school_london_Ainslie_Wood_Primary_School,Ainslie Wood Primary School,Community School,Primary,140 Ainslie Wood Road,Open,Mixed,Waltham Forest,-0.010968,51.611599
school_london_Akiva_School,Akiva School,Voluntary Aided School,Primary,80 East End Road,Open,Mixed,Barnet,-0.189341,51.5952988
school_london_Al_Ashraaf_Secondary_School,Al Ashraaf Secondary School,Other Independent School,Not applicable,102-105 Whitechapel High Street,Open,Boys,Tower Hamlets,-0.0719216,51.5157013
school_london_Al-azhar_Primary_School,Al-azhar Primary School,Other Independent School,Not applicable,Unit 1,Closed,Mixed,Tower Hamlets,-0.0273466,51.5149002
school_london_Albemarle_Primary_School,Albemarle Primary School,Foundation School,Primary,Princes Way,Open,Mixed,Wandsworth,-0.213816,51.4418983
school_london_Albion_Primary_School,Albion Primary School,Community School,Primary,Albion Street,Open,Mixed,Southwark,-0.0516655,51.5
school_london_Aldborough_Primary_School,Aldborough Primary School,Free Schools,Primary,231 Aldborough Road South,Open,Mixed,Redbridge,0.0952201,51.5708008
school_london_Alderbrook_Primary_School,Alderbrook Primary School,Community School,Primary,Oldridge Road,Open,Mixed,Wandsworth,-0.149874,51.4486008
school_london_Aldersbrook_Primary_School,Aldersbrook Primary School,Community School,Primary,Harpenden Road,Open,Mixed,Redbridge,0.0346191,51.5642014
school_london_Alderwood_Primary_School,Alderwood Primary School,Community School,Primary,Rainham Close,Open,Mixed,Greenwich,0.0860182,51.4485016
school_london_Alec_Reed_Academy,Alec Reed Academy,Academy Sponsor Led,All Through,Bengarth Road,Open,Mixed,Ealing,-0.382438,51.543499
school_london_Alexander_Mcleod_Primary_School,Alexander Mcleod Primary School,Community School,Primary,Fuchsia Street,Open,Mixed,Greenwich,0.11289,51.4852982
school_london_Alexandra_Infant_School,Alexandra Infant School,Community School,Primary,Alexandra Road,Open,Mixed,Kingston Upon Thames,-0.287971,51.4171982
school_london_Alexandra_Junior_School,Alexandra Junior School,Academy Converter,Primary,Cator Road,Open,Mixed,Bromley,-0.0461523,51.4210014
school_london_Alexandra_Park_School,Alexandra Park School,Academy Converter,Secondary,Bidwell Gardens,Open,Mixed,Haringey,-0.136971,51.6021004
school_london_Alexandra_Primary_School,Alexandra Primary School,Community School,Primary,Western Road,Open,Mixed,Haringey,-0.115348,51.5952988
school_london_Alexandra_School,Alexandra School,Academy Special Converter,Not applicable,Alexandra Avenue,Open,Mixed,Harrow,-0.369896,51.5671997
school_london_Al-falah_Primary_School,Al-falah Primary School,Other Independent School,Not applicable,48 Kenninghall Road,Open,Mixed,Hackney,-0.0588304,51.5582008
school_london_Alfred_Salter_Primary_School,Alfred Salter Primary School,Community School,Primary,Quebec Way,Open,Mixed,Southwark,-0.0435828,51.4995995
school_london_Alif_Academy,Alif Academy,Other Independent School,Not applicable,313-319 Katherine Road,Closed,Mixed,Newham,0.038884,51.5373001
school_london_Al-khair_School,Al-khair School,Other Independent School,Not applicable,109-117 Cherry Orchard Road,Open,Mixed,Croydon,-0.089138,51.3792992
school_london_All_Saints_Benhilton_Cofe_Primary_School,All Saints Benhilton Cofe Primary School,Voluntary Aided School,Primary,All Saints Road,Open,Mixed,Sutton,-0.191806,51.3726006
