Id,Date,Town,AveragePrice,HousesSold
city of london1995-01-01,1995-01-01T00:00:00Z,city of london,91449,17.0
city of london1995-02-01,1995-02-01T00:00:00Z,city of london,82203,7.0
city of london1995-03-01,1995-03-01T00:00:00Z,city of london,79121,14.0
city of london1995-04-01,1995-04-01T00:00:00Z,city of london,77101,7.0
city of london1995-05-01,1995-05-01T00:00:00Z,city of london,84409,10.0
city of london1995-06-01,1995-06-01T00:00:00Z,city of london,94901,17.0
city of london1995-07-01,1995-07-01T00:00:00Z,city of london,110128,13.0
city of london1995-08-01,1995-08-01T00:00:00Z,city of london,112329,14.0
city of london1995-09-01,1995-09-01T00:00:00Z,city of london,104473,17.0
city of london1995-10-01,1995-10-01T00:00:00Z,city of london,108038,14.0
city of london1995-11-01,1995-11-01T00:00:00Z,city of london,117636,11.0
city of london1995-12-01,1995-12-01T00:00:00Z,city of london,127232,18.0
city of london1996-01-01,1996-01-01T00:00:00Z,city of london,108999,17.0
city of london1996-02-01,1996-02-01T00:00:00Z,city of london,93357,10.0
city of london1996-03-01,1996-03-01T00:00:00Z,city of london,93707,17.0
city of london1996-04-01,1996-04-01T00:00:00Z,city of london,120543,14.0
city of london1996-05-01,1996-05-01T00:00:00Z,city of london,112050,19.0
city of london1996-06-01,1996-06-01T00:00:00Z,city of london,114226,28.0
city of london1996-07-01,1996-07-01T00:00:00Z,city of london,97547,30.0
city of london1996-08-01,1996-08-01T00:00:00Z,city of london,114179,25.0
city of london1996-09-01,1996-09-01T00:00:00Z,city of london,108138,32.0
city of london1996-10-01,1996-10-01T00:00:00Z,city of london,98934,33.0
city of london1996-11-01,1996-11-01T00:00:00Z,city of london,99707,31.0
city of london1996-12-01,1996-12-01T00:00:00Z,city of london,106427,26.0
city of london1997-01-01,1997-01-01T00:00:00Z,city of london,116343,22.0
city of london1997-02-01,1997-02-01T00:00:00Z,city of london,111142,37.0
city of london1997-03-01,1997-03-01T00:00:00Z,city of london,107488,70.0
city of london1997-04-01,1997-04-01T00:00:00Z,city of london,108480,19.0
city of london1997-05-01,1997-05-01T00:00:00Z,city of london,115453,12.0
city of london1997-06-01,1997-06-01T00:00:00Z,city of london,118317,21.0
city of london1997-07-01,1997-07-01T00:00:00Z,city of london,117034,26.0
city of london1997-08-01,1997-08-01T00:00:00Z,city of london,113585,9.0
city of london1997-09-01,1997-09-01T00:00:00Z,city of london,115159,22.0
city of london1997-10-01,1997-10-01T00:00:00Z,city of london,121251,22.0
city of london1997-11-01,1997-11-01T00:00:00Z,city of london,131074,18.0
city of london1997-12-01,1997-12-01T00:00:00Z,city of london,130035,37.0
city of london1998-01-01,1998-01-01T00:00:00Z,city of london,124382,48.0
city of london1998-02-01,1998-02-01T00:00:00Z,city of london,143829,43.0
city of london1998-03-01,1998-03-01T00:00:00Z,city of london,156508,39.0
city of london1998-04-01,1998-04-01T00:00:00Z,city of london,163403,28.0
city of london1998-05-01,1998-05-01T00:00:00Z,city of london,143625,30.0
city of london1998-06-01,1998-06-01T00:00:00Z,city of london,132251,32.0
city of london1998-07-01,1998-07-01T00:00:00Z,city of london,140377,17.0
city of london1998-08-01,1998-08-01T00:00:00Z,city of london,148993,34.0
city of london1998-09-01,1998-09-01T00:00:00Z,city of london,152807,40.0
city of london1998-10-01,1998-10-01T00:00:00Z,city of london,162020,42.0
city of london1998-11-01,1998-11-01T00:00:00Z,city of london,152387,23.0
city of london1998-12-01,1998-12-01T00:00:00Z,city of london,155801,48.0
city of london1999-01-01,1999-01-01T00:00:00Z,city of london,149143,41.0
city of london1999-02-01,1999-02-01T00:00:00Z,city of london,164545,31.0
city of london1999-03-01,1999-03-01T00:00:00Z,city of london,174586,53.0
city of london1999-04-01,1999-04-01T00:00:00Z,city of london,191157,28.0
city of london1999-05-01,1999-05-01T00:00:00Z,city of london,191081,35.0
city of london1999-06-01,1999-06-01T00:00:00Z,city of london,185993,63.0
city of london1999-07-01,1999-07-01T00:00:00Z,city of london,164056,42.0
city of london1999-08-01,1999-08-01T00:00:00Z,city of london,160905,58.0
city of london1999-09-01,1999-09-01T00:00:00Z,city of london,166193,30.0
city of london1999-10-01,1999-10-01T00:00:00Z,city of london,163490,29.0
city of london1999-11-01,1999-11-01T00:00:00Z,city of london,175143,29.0
city of london1999-12-01,1999-12-01T00:00:00Z,city of london,169309,97.0
city of london2000-01-01,2000-01-01T00:00:00Z,city of london,173738,24.0
city of london2000-02-01,2000-02-01T00:00:00Z,city of london,174152,55.0
city of london2000-03-01,2000-03-01T00:00:00Z,city of london,178339,48.0
city of london2000-04-01,2000-04-01T00:00:00Z,city of london,183101,58.0
city of london2000-05-01,2000-05-01T00:00:00Z,city of london,175041,38.0
city of london2000-06-01,2000-06-01T00:00:00Z,city of london,198191,60.0
city of london2000-07-01,2000-07-01T00:00:00Z,city of london,214852,33.0
city of london2000-08-01,2000-08-01T00:00:00Z,city of london,221952,22.0
city of london2000-09-01,2000-09-01T00:00:00Z,city of london,223175,20.0
city of london2000-10-01,2000-10-01T00:00:00Z,city of london,245062,19.0
city of london2000-11-01,2000-11-01T00:00:00Z,city of london,321773,18.0
city of london2000-12-01,2000-12-01T00:00:00Z,city of london,314772,33.0
city of london2001-01-01,2001-01-01T00:00:00Z,city of london,284262,24.0
city of london2001-02-01,2001-02-01T00:00:00Z,city of london,198137,37.0
city of london2001-03-01,2001-03-01T00:00:00Z,city of london,189033,44.0
city of london2001-04-01,2001-04-01T00:00:00Z,city of london,205494,38.0
city of london2001-05-01,2001-05-01T00:00:00Z,city of london,223459,30.0
city of london2001-06-01,2001-06-01T00:00:00Z,city of london,242435,36.0
city of london2001-07-01,2001-07-01T00:00:00Z,city of london,230700,40.0
city of london2001-08-01,2001-08-01T00:00:00Z,city of london,231632,30.0
city of london2001-09-01,2001-09-01T00:00:00Z,city of london,229806,30.0
city of london2001-10-01,2001-10-01T00:00:00Z,city of london,263887,26.0
city of london2001-11-01,2001-11-01T00:00:00Z,city of london,346458,15.0
city of london2001-12-01,2001-12-01T00:00:00Z,city of london,362204,17.0
city of london2002-01-01,2002-01-01T00:00:00Z,city of london,344239,30.0
city of london2002-02-01,2002-02-01T00:00:00Z,city of london,284015,12.0
city of london2002-03-01,2002-03-01T00:00:00Z,city of london,253697,47.0
city of london2002-04-01,2002-04-01T00:00:00Z,city of london,245313,31.0
city of london2002-05-01,2002-05-01T00:00:00Z,city of london,227281,30.0
city of london2002-06-01,2002-06-01T00:00:00Z,city of london,253130,25.0
city of london2002-07-01,2002-07-01T00:00:00Z,city of london,262428,26.0
city of london2002-08-01,2002-08-01T00:00:00Z,city of london,274016,51.0
city of london2002-09-01,2002-09-01T00:00:00Z,city of london,277047,49.0
city of london2002-10-01,2002-10-01T00:00:00Z,city of london,271941,19.0
city of london2002-11-01,2002-11-01T00:00:00Z,city of london,280283,28.0
city of london2002-12-01,2002-12-01T00:00:00Z,city of london,262197,44.0
city of london2003-01-01,2003-01-01T00:00:00Z,city of london,261645,32.0
city of london2003-02-01,2003-02-01T00:00:00Z,city of london,263992,20.0
city of london2003-03-01,2003-03-01T00:00:00Z,city of london,291969,31.0
city of london2003-04-01,2003-04-01T00:00:00Z,city of london,295174,30.0
city of london2003-05-01,2003-05-01T00:00:00Z,city of london,284860,38.0
city of london2003-06-01,2003-06-01T00:00:00Z,city of london,267208,84.0
city of london2003-07-01,2003-07-01T00:00:00Z,city of london,260204,48.0
city of london2003-08-01,2003-08-01T00:00:00Z,city of london,245449,46.0
city of london2003-09-01,2003-09-01T00:00:00Z,city of london,243184,38.0
city of london2003-10-01,2003-10-01T00:00:00Z,city of london,252980,33.0
city of london2003-11-01,2003-11-01T00:00:00Z,city of london,277515,42.0
city of london2003-12-01,2003-12-01T00:00:00Z,city of london,305556,38.0
city of london2004-01-01,2004-01-01T00:00:00Z,city of london,326913,98.0
city of london2004-02-01,2004-02-01T00:00:00Z,city of london,301092,16.0
city of london2004-03-01,2004-03-01T00:00:00Z,city of london,272731,20.0
city of london2004-04-01,2004-04-01T00:00:00Z,city of london,269514,25.0
city of london2004-05-01,2004-05-01T00:00:00Z,city of london,280062,22.0
city of london2004-06-01,2004-06-01T00:00:00Z,city of london,297421,38.0
city of london2004-07-01,2004-07-01T00:00:00Z,city of london,298293,34.0
city of london2004-08-01,2004-08-01T00:00:00Z,city of london,307094,46.0
city of london2004-09-01,2004-09-01T00:00:00Z,city of london,305126,27.0
city of london2004-10-01,2004-10-01T00:00:00Z,city of london,289912,24.0
city of london2004-11-01,2004-11-01T00:00:00Z,city of london,333075,13.0
city of london2004-12-01,2004-12-01T00:00:00Z,city of london,331161,14.0
city of london2005-01-01,2005-01-01T00:00:00Z,city of london,330363,17.0
city of london2005-02-01,2005-02-01T00:00:00Z,city of london,288867,18.0
city of london2005-03-01,2005-03-01T00:00:00Z,city of london,304851,18.0
city of london2005-04-01,2005-04-01T00:00:00Z,city of london,317398,32.0
city of london2005-05-01,2005-05-01T00:00:00Z,city of london,311442,20.0
city of london2005-06-01,2005-06-01T00:00:00Z,city of london,282866,33.0
city of london2005-07-01,2005-07-01T00:00:00Z,city of london,283641,29.0
city of london2005-08-01,2005-08-01T00:00:00Z,city of london,305351,26.0
city of london2005-09-01,2005-09-01T00:00:00Z,city of london,310906,37.0
city of london2005-10-01,2005-10-01T00:00:00Z,city of london,338837,14.0
city of london2005-11-01,2005-11-01T00:00:00Z,city of london,327256,29.0
city of london2005-12-01,2005-12-01T00:00:00Z,city of london,339626,30.0
city of london2006-01-01,2006-01-01T00:00:00Z,city of london,316121,19.0
city of london2006-02-01,2006-02-01T00:00:00Z,city of london,323653,17.0
