Id,Date,Town,AveragePrice,HousesSold
CityOfLondon1995-01-01T00:00Z,1995-01-01T00:00:00Z,City Of London,91449,17.0
CityOfLondon1995-02-01T00:00Z,1995-02-01T00:00:00Z,City Of London,82203,7.0
CityOfLondon1995-03-01T00:00Z,1995-03-01T00:00:00Z,City Of London,79121,14.0
CityOfLondon1995-04-01T00:00Z,1995-04-01T00:00:00Z,City Of London,77101,7.0
CityOfLondon1995-05-01T00:00Z,1995-05-01T00:00:00Z,City Of London,84409,10.0
CityOfLondon1995-06-01T00:00Z,1995-06-01T00:00:00Z,City Of London,94901,17.0
CityOfLondon1995-07-01T00:00Z,1995-07-01T00:00:00Z,City Of London,110128,13.0
CityOfLondon1995-08-01T00:00Z,1995-08-01T00:00:00Z,City Of London,112329,14.0
CityOfLondon1995-09-01T00:00Z,1995-09-01T00:00:00Z,City Of London,104473,17.0
CityOfLondon1995-10-01T00:00Z,1995-10-01T00:00:00Z,City Of London,108038,14.0
CityOfLondon1995-11-01T00:00Z,1995-11-01T00:00:00Z,City Of London,117636,11.0
CityOfLondon1995-12-01T00:00Z,1995-12-01T00:00:00Z,City Of London,127232,18.0
CityOfLondon1996-01-01T00:00Z,1996-01-01T00:00:00Z,City Of London,108999,17.0
CityOfLondon1996-02-01T00:00Z,1996-02-01T00:00:00Z,City Of London,93357,10.0
CityOfLondon1996-03-01T00:00Z,1996-03-01T00:00:00Z,City Of London,93707,17.0
CityOfLondon1996-04-01T00:00Z,1996-04-01T00:00:00Z,City Of London,120543,14.0
CityOfLondon1996-05-01T00:00Z,1996-05-01T00:00:00Z,City Of London,112050,19.0
CityOfLondon1996-06-01T00:00Z,1996-06-01T00:00:00Z,City Of London,114226,28.0
CityOfLondon1996-07-01T00:00Z,1996-07-01T00:00:00Z,City Of London,97547,30.0
CityOfLondon1996-08-01T00:00Z,1996-08-01T00:00:00Z,City Of London,114179,25.0
CityOfLondon1996-09-01T00:00Z,1996-09-01T00:00:00Z,City Of London,108138,32.0
CityOfLondon1996-10-01T00:00Z,1996-10-01T00:00:00Z,City Of London,98934,33.0
CityOfLondon1996-11-01T00:00Z,1996-11-01T00:00:00Z,City Of London,99707,31.0
CityOfLondon1996-12-01T00:00Z,1996-12-01T00:00:00Z,City Of London,106427,26.0
CityOfLondon1997-01-01T00:00Z,1997-01-01T00:00:00Z,City Of London,116343,22.0
CityOfLondon1997-02-01T00:00Z,1997-02-01T00:00:00Z,City Of London,111142,37.0
CityOfLondon1997-03-01T00:00Z,1997-03-01T00:00:00Z,City Of London,107488,70.0
CityOfLondon1997-04-01T00:00Z,1997-04-01T00:00:00Z,City Of London,108480,19.0
CityOfLondon1997-05-01T00:00Z,1997-05-01T00:00:00Z,City Of London,115453,12.0
CityOfLondon1997-06-01T00:00Z,1997-06-01T00:00:00Z,City Of London,118317,21.0
CityOfLondon1997-07-01T00:00Z,1997-07-01T00:00:00Z,City Of London,117034,26.0
CityOfLondon1997-08-01T00:00Z,1997-08-01T00:00:00Z,City Of London,113585,9.0
CityOfLondon1997-09-01T00:00Z,1997-09-01T00:00:00Z,City Of London,115159,22.0
CityOfLondon1997-10-01T00:00Z,1997-10-01T00:00:00Z,City Of London,121251,22.0
CityOfLondon1997-11-01T00:00Z,1997-11-01T00:00:00Z,City Of London,131074,18.0
CityOfLondon1997-12-01T00:00Z,1997-12-01T00:00:00Z,City Of London,130035,37.0
CityOfLondon1998-01-01T00:00Z,1998-01-01T00:00:00Z,City Of London,124382,48.0
CityOfLondon1998-02-01T00:00Z,1998-02-01T00:00:00Z,City Of London,143829,43.0
CityOfLondon1998-03-01T00:00Z,1998-03-01T00:00:00Z,City Of London,156508,39.0
CityOfLondon1998-04-01T00:00Z,1998-04-01T00:00:00Z,City Of London,163403,28.0
CityOfLondon1998-05-01T00:00Z,1998-05-01T00:00:00Z,City Of London,143625,30.0
CityOfLondon1998-06-01T00:00Z,1998-06-01T00:00:00Z,City Of London,132251,32.0
CityOfLondon1998-07-01T00:00Z,1998-07-01T00:00:00Z,City Of London,140377,17.0
CityOfLondon1998-08-01T00:00Z,1998-08-01T00:00:00Z,City Of London,148993,34.0
CityOfLondon1998-09-01T00:00Z,1998-09-01T00:00:00Z,City Of London,152807,40.0
CityOfLondon1998-10-01T00:00Z,1998-10-01T00:00:00Z,City Of London,162020,42.0
