ID,NOMBRE,HORARIO,PLAZAS,ACCESIBILIDAD,VIA,same_as_wikidata_via,NUMERO,BARRIO,same_as_wikidata_barrio,COD-BARRIO,DISTRITO,same_as_wikidata_distrito,COD-DISTRITO
A-1,Aparcamiento disuasorio Aviación Española,Abierto 24 horas,344,true,CALLE FUENTE DE LIMA,,5,Las Águilas,https://wikidata.org//entity/Q5971372,10-07,Latina,https://wikidata.org//entity/Q794954,"10"
A-2,Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b,Horario de apertura de 6:00 h a 22:00 h los días laborables excepto los días de partido en el estadio Metropolitano,3011,false,"Avenida de Arcentales, Madrid",https://wikidata.org//entity/Q56155322,37,Rosas,https://wikidata.org//entity/Q18880469,20-05,San Blas-Canillejas,https://wikidata.org//entity/Q2001937,"20"
A-3,Aparcamiento disuasorio Fuente de la Mora,Abierto 24 horas,368,true,AVENIDA MANOTERAS,,1,Valdefuentes,https://wikidata.org//entity/Q10388714,16-06,Hortaleza,https://wikidata.org//entity/Q1928529,"16"
A-4,Aparcamiento disuasorio Islazul,,224,true,CALLE CALDERILLA,,1,Buenavista,https://wikidata.org//entity/Q953929,11-06,Carabanchel,https://wikidata.org//entity/Q1001991,"11"
A-5,Aparcamiento disuasorio Pitis,Abierto 24 horas,402,true,CALLE GLORIA FUERTES,,,Fuentelarreina,https://wikidata.org//entity/Q10286156,08-02,Fuencarral-El Pardo,https://wikidata.org//entity/Q656196,"08"
A-6,Aparcamiento mixto. Alcántara,Abierto 24 horas,121,false,Calle Alcántara,https://wikidata.org//entity/Q5676023,26,Goya,https://wikidata.org//entity/Q3814578,04-02,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-7,Aparcamiento mixto. Arquitecto Ribera,Abierto 24 horas,318,false,calle de Barceló,https://wikidata.org//entity/Q27051120,2,Justicia,https://wikidata.org//entity/Q1992319,01-04,Centro,https://wikidata.org//entity/Q1763376,"01"
A-8,Aparcamiento mixto. Avenida de América (intercambiador),Plazas: 261 públicas y Abierto 24 horas,,false,"Avenida de América, Madrid",https://wikidata.org//entity/Q5686040,9,Prosperidad,https://wikidata.org//entity/Q4776,05-02,Chamartín,https://wikidata.org//entity/Q1766348,"05"
A-9,Aparcamiento mixto. Avenida de Portugal,Horario de apertura de 6:00 h a 22:00 h los días laborables.Abierto 24 horas,428,false,Avenida de Portugal,https://wikidata.org//entity/Q26736141,155,Puerta del Ángel,https://wikidata.org//entity/Q31142,10-02,Latina,https://wikidata.org//entity/Q794954,"10"
A-10,Aparcamiento mixto. Brasil,Abierto 24 horas,226,false,"Calle de San Germán, Madrid",https://wikidata.org//entity/Q26750807,7,Cuatro Caminos,https://wikidata.org//entity/Q5824684,06-02,Tetuán,https://wikidata.org//entity/Q1773540,"06"
A-11,Aparcamiento mixto. Casino de la Reina,Abierto 24 horas,135,false,"Calle del Casino, Madrid",https://wikidata.org//entity/Q26248358,3,Embajadores,https://wikidata.org//entity/Q2449844,01-02,Centro,https://wikidata.org//entity/Q1763376,"01"
A-12,Aparcamiento mixto. Condesa de Gavia,El horario de apertura para la parte del aparcamiento rotacional es de lunes a viernes de 9:00h a 20:40h. Sábados de 9:00 a 14:30h.,146,false,PLAZA CONDESA DE GAVIA,,2,Cuatro Caminos,https://wikidata.org//entity/Q5824684,06-02,Tetuán,https://wikidata.org//entity/Q1773540,"06"
A-13,Aparcamiento mixto. Corona Boreal,Abierto 24 horas,125,true,CALLE PEREZ DE VICTORIA,,2,Aravaca,https://wikidata.org//entity/Q3314682,09-07,Moncloa-Aravaca,https://wikidata.org//entity/Q2017682,"09"
A-14,Aparcamiento mixto. Daoíz y Velarde,Abierto 24 horas,235,false,Avenida de la Ciudad de Barcelona,https://wikidata.org//entity/Q5714227,156,Pacífico,https://wikidata.org//entity/Q3773753,03-01,Retiro,https://wikidata.org//entity/Q2002296,"03"
A-15,Aparcamiento mixto. Díaz Porlier,Abierto 24 horas,203,false,"Calle de Diego de León, Madrid",https://wikidata.org//entity/Q28059485,64,Lista,https://wikidata.org//entity/Q4779,04-05,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-16,Aparcamiento mixto. Encuentro,Abierto 24 horas,104,false,Plaza del Encuentro,https://wikidata.org//entity/Q126282847,5,Media Legua,https://wikidata.org//entity/Q9031035,14-04,Moratalaz,https://wikidata.org//entity/Q2076109,"14"
A-17,Aparcamiento mixto. Felipe II,Abierto 24 horas,1175,false,Calle de Goya,https://wikidata.org//entity/Q28015873,88,Recoletos,https://wikidata.org//entity/Q3814551,04-01,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-18,Aparcamiento mixto. Fernández Shaw,Abierto 24 horas,245,false,CALLE CARLOS Y GUILLERMO FERNANDEZ SHAW,,1,Adelfas,https://wikidata.org//entity/Q3774001,03-02,Retiro,https://wikidata.org//entity/Q2002296,"03"
A-19,Aparcamiento mixto. Fuencarral,Abierto 24 horas,410,false,calle de Fuencarral,https://wikidata.org//entity/Q5740840,121,Trafalgar,https://wikidata.org//entity/Q10384027,07-03,Chamberí,https://wikidata.org//entity/Q1763370,"07"
A-20,Aparcamiento mixto. Hernani,Abierto 24 horas,115,false,"Calle de Hernani, Madrid",https://wikidata.org//entity/Q26833571,79,Cuatro Caminos,https://wikidata.org//entity/Q5824684,06-02,Tetuán,https://wikidata.org//entity/Q1773540,"06"
