ID,DISTRITO,same_as_wikidata_distrito,COD-BARRIO,COD-DISTRITO,BARRIO,same_as_wikidata_barrio,VIA,NUMERO,L-B,PLAZAS
C-1,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18-04,18,Valdecarros,https://wikidata.org/entity/Q5640578,CAÑADA REAL DE MERINAS,136,Batería,"1"
C-2,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18-04,18,Valdecarros,https://wikidata.org/entity/Q5640578,CAÑADA REAL DE MERINAS,136,Batería,"2"
C-3,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18-04,18,Valdecarros,https://wikidata.org/entity/Q5640578,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,Línea,"1"
C-4,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18-04,18,Valdecarros,https://wikidata.org/entity/Q5640578,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,Línea,"1"
C-5,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18-04,18,Valdecarros,https://wikidata.org/entity/Q5640578,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,Batería,"1"
C-6,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18-04,18,Valdecarros,https://wikidata.org/entity/Q5640578,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,unknown,"1"
C-7,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18-04,18,Valdecarros,https://wikidata.org/entity/Q5640578,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,Línea,"1"
C-8,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18-04,18,Valdecarros,https://wikidata.org/entity/Q5640578,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,Batería,"1"
C-9,Centro,https://wikidata.org/entity/Q1763376,01-06,01,Sol,https://wikidata.org/entity/Q2465181,CALLE  DE LA ABADA,9,Línea,"2"
C-10,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL ACUERDO,37,Línea,"1"
C-11,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL ACUERDO,38,Línea,"1"
C-12,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE LAS AGUAS,4,Línea,"1"
C-13,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE LAS AGUAS,10,Línea,"1"
C-14,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE LA ALAMEDA,14,Línea,"1"
C-15,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE ALGECIRAS,3,Línea,"1"
C-16,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE ALMADEN,5,Línea,"1"
C-17,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DEL ALMIRANTE,3,Línea,"1"
C-18,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DEL ALMIRANTE,29,Línea,"1"
C-19,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE AMANIEL,30,Línea,"1"
C-20,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE AMANIEL,33,Línea,"2"
C-21,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE LAS AMAZONAS,,Batería,"1"
C-22,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DEL AMOR DE DIOS,10,Línea,"1"
C-23,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE AMPARO,91,Línea,"1"
C-24,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,COSTANILLA  DE LOS ANGELES,5,Línea,"1"
C-25,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE APODACA,15,Línea,"1"
C-26,Centro,https://wikidata.org/entity/Q1763376,01-06,01,Sol,https://wikidata.org/entity/Q2465181,TRAVESIA  DEL ARENAL,4,Línea,"1"
C-27,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE ARGENSOLA,3,Línea,"1"
C-28,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE ARGENSOLA,19,Línea,"1"
C-29,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE ARGUMOSA,3,Batería,"2"
C-30,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE ARGUMOSA,9,Batería,"1"
C-31,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE ARGUMOSA,28,Línea,"1"
C-32,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE ARLABAN,10,Línea,"1"
C-33,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE ARRIETA,9,Línea,"1"
C-34,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE ARRIETA,11,Línea,"2"
C-35,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE ATOCHA,19,Línea,"1"
C-36,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE ATOCHA,95,Línea,"1"
C-37,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE ATOCHA,111,Línea,"2"
C-38,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,RONDA  DE ATOCHA,14,Línea,"1"
C-39,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE AUGUSTO FIGUEROA,29,Línea,"1"
C-40,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL AVE MARIA,23,Línea,"1"
C-41,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE BALTASAR GRACIAN,6,Línea,"1"
C-42,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE BARBARA DE BRAGANZA,6,Batería,"1"
C-43,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE BARBARA DE BRAGANZA,8,Batería,"1"
C-44,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE BARBARA DE BRAGANZA,10,Batería,"2"
C-45,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE BARCELO,11,Línea,"1"
C-46,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DEL BARQUILLO,1,Línea,"1"
C-47,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DEL BARQUILLO,9,Línea,"1"
C-48,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DEL BARQUILLO,15,Línea,"1"
C-49,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE BELEN,5,Línea,"2"
C-50,Centro,https://wikidata.org/entity/Q1763376,01-06,01,Sol,https://wikidata.org/entity/Q2465181,CALLE  DE LOS BORDADORES,11,Línea,"1"
C-51,Centro,https://wikidata.org/entity/Q1763376,01-06,01,Sol,https://wikidata.org/entity/Q2465181,CALLE  DE LOS BORDADORES,13,Línea,"1"
C-52,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE CALATRAVA,7,Línea,"1"
C-53,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE CAMPOAMOR,16,Línea,"1"
C-54,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL CAPITAN SALAZAR MARTINEZ,5,Línea,"1"
C-55,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,PLAZA  DE LA CEBADA,9,Línea,"1"
C-56,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,PLAZA  DE LA CEBADA,16,Línea,"1"
C-57,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,PLAZA  DE LA CEBADA,17,Línea,"1"
C-58,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE CHURRUCA,5,Línea,"1"
C-59,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE CHURRUCA,27,Línea,"2"
C-60,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DEL CLAVEL,8,Línea,"1"
C-61,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,PLAZA  DEL COMANDANTE LAS MORENAS,1,Línea,"1"
C-62,Centro,https://wikidata.org/entity/Q1763376,01-06,01,Sol,https://wikidata.org/entity/Q2465181,PLAZA  DEL COMANDANTE LAS MORENAS,5,Batería,"1"
C-63,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE LA CONCEPCION JERONIMA,15,Línea,"1"
C-64,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL CONDE DE ROMANONES,5,Línea,"1"
C-65,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,PLAZA  DEL CONDE DE TORENO,5,Línea,"1"
C-66,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DEL CONDE DE XIQUENA,1,Línea,"1"
C-67,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL CONDE DUQUE,5,Línea,"1"
C-68,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL CONDE DUQUE,34,Línea,"1"
C-69,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE LA CRUZADA,3,Línea,"2"
C-70,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CUESTA  DE LAS DESCARGAS,10,Línea,"1"
