ID,DISTRITO,COD-BARRIO,COD-DISTRITO,BARRIO,VIA,NUMERO,L-B,PLAZAS
C-1,VILLA DE VALLECAS,18-04,18,VALDECARROS,CAÑADA REAL DE MERINAS,136,Batería,1
C-2,VILLA DE VALLECAS,18-04,18,VALDECARROS,CAÑADA REAL DE MERINAS,136,Batería,2
C-3,VILLA DE VALLECAS,18-04,18,VALDECARROS,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,Línea,1
C-4,VILLA DE VALLECAS,18-04,18,VALDECARROS,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,Línea,1
C-5,VILLA DE VALLECAS,18-04,18,VALDECARROS,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,Batería,1
C-6,VILLA DE VALLECAS,18-04,18,VALDECARROS,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,unknown,1
C-7,VILLA DE VALLECAS,18-04,18,VALDECARROS,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,Línea,1
C-8,VILLA DE VALLECAS,18-04,18,VALDECARROS,CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ,1,Batería,1
C-9,CENTRO,01-06,01,SOL,CALLE  DE LA ABADA,9,Línea,2
C-10,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL ACUERDO,37,Línea,1
C-11,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL ACUERDO,38,Línea,1
C-12,CENTRO,01-01,01,PALACIO,CALLE  DE LAS AGUAS,4,Línea,1
C-13,CENTRO,01-01,01,PALACIO,CALLE  DE LAS AGUAS,10,Línea,1
C-14,CENTRO,01-03,01,CORTES,CALLE  DE LA ALAMEDA,14,Línea,1
C-15,CENTRO,01-01,01,PALACIO,CALLE  DE ALGECIRAS,3,Línea,1
C-16,CENTRO,01-03,01,CORTES,CALLE  DE ALMADEN,5,Línea,1
C-17,CENTRO,01-04,01,JUSTICIA,CALLE  DEL ALMIRANTE,3,Línea,1
C-18,CENTRO,01-04,01,JUSTICIA,CALLE  DEL ALMIRANTE,29,Línea,1
C-19,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE AMANIEL,30,Línea,1
C-20,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE AMANIEL,33,Línea,2
C-21,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LAS AMAZONAS,,Batería,1
C-22,CENTRO,01-03,01,CORTES,CALLE  DEL AMOR DE DIOS,10,Línea,1
C-23,CENTRO,01-02,01,EMBAJADORES,CALLE  DE AMPARO,91,Línea,1
C-24,CENTRO,01-01,01,PALACIO,COSTANILLA  DE LOS ANGELES,5,Línea,1
C-25,CENTRO,01-04,01,JUSTICIA,CALLE  DE APODACA,15,Línea,1
C-26,CENTRO,01-06,01,SOL,TRAVESIA  DEL ARENAL,4,Línea,1
C-27,CENTRO,01-04,01,JUSTICIA,CALLE  DE ARGENSOLA,3,Línea,1
C-28,CENTRO,01-04,01,JUSTICIA,CALLE  DE ARGENSOLA,19,Línea,1
C-29,CENTRO,01-02,01,EMBAJADORES,CALLE  DE ARGUMOSA,3,Batería,2
C-30,CENTRO,01-02,01,EMBAJADORES,CALLE  DE ARGUMOSA,9,Batería,1
C-31,CENTRO,01-02,01,EMBAJADORES,CALLE  DE ARGUMOSA,28,Línea,1
C-32,CENTRO,01-03,01,CORTES,CALLE  DE ARLABAN,10,Línea,1
C-33,CENTRO,01-01,01,PALACIO,CALLE  DE ARRIETA,9,Línea,1
C-34,CENTRO,01-01,01,PALACIO,CALLE  DE ARRIETA,11,Línea,2
C-35,CENTRO,01-02,01,EMBAJADORES,CALLE  DE ATOCHA,19,Línea,1
C-36,CENTRO,01-03,01,CORTES,CALLE  DE ATOCHA,95,Línea,1
C-37,CENTRO,01-03,01,CORTES,CALLE  DE ATOCHA,111,Línea,2
C-38,CENTRO,01-02,01,EMBAJADORES,RONDA  DE ATOCHA,14,Línea,1
C-39,CENTRO,01-04,01,JUSTICIA,CALLE  DE AUGUSTO FIGUEROA,29,Línea,1
C-40,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL AVE MARIA,23,Línea,1
C-41,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE BALTASAR GRACIAN,6,Línea,1
C-42,CENTRO,01-04,01,JUSTICIA,CALLE  DE BARBARA DE BRAGANZA,6,Batería,1
C-43,CENTRO,01-04,01,JUSTICIA,CALLE  DE BARBARA DE BRAGANZA,8,Batería,1
C-44,CENTRO,01-04,01,JUSTICIA,CALLE  DE BARBARA DE BRAGANZA,10,Batería,2
C-45,CENTRO,01-04,01,JUSTICIA,CALLE  DE BARCELO,11,Línea,1
C-46,CENTRO,01-04,01,JUSTICIA,CALLE  DEL BARQUILLO,1,Línea,1
C-47,CENTRO,01-04,01,JUSTICIA,CALLE  DEL BARQUILLO,9,Línea,1
C-48,CENTRO,01-04,01,JUSTICIA,CALLE  DEL BARQUILLO,15,Línea,1
C-49,CENTRO,01-04,01,JUSTICIA,CALLE  DE BELEN,5,Línea,2
C-50,CENTRO,01-06,01,SOL,CALLE  DE LOS BORDADORES,11,Línea,1
C-51,CENTRO,01-06,01,SOL,CALLE  DE LOS BORDADORES,13,Línea,1
C-52,CENTRO,01-01,01,PALACIO,CALLE  DE CALATRAVA,7,Línea,1
C-53,CENTRO,01-04,01,JUSTICIA,CALLE  DE CAMPOAMOR,16,Línea,1
C-54,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL CAPITAN SALAZAR MARTINEZ,5,Línea,1
C-55,CENTRO,01-01,01,PALACIO,PLAZA  DE LA CEBADA,9,Línea,1
C-56,CENTRO,01-01,01,PALACIO,PLAZA  DE LA CEBADA,16,Línea,1
C-57,CENTRO,01-01,01,PALACIO,PLAZA  DE LA CEBADA,17,Línea,1
C-58,CENTRO,01-04,01,JUSTICIA,CALLE  DE CHURRUCA,5,Línea,1
C-59,CENTRO,01-04,01,JUSTICIA,CALLE  DE CHURRUCA,27,Línea,2
C-60,CENTRO,01-04,01,JUSTICIA,CALLE  DEL CLAVEL,8,Línea,1
C-61,CENTRO,01-01,01,PALACIO,PLAZA  DEL COMANDANTE LAS MORENAS,1,Línea,1
C-62,CENTRO,01-06,01,SOL,PLAZA  DEL COMANDANTE LAS MORENAS,5,Batería,1
C-63,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LA CONCEPCION JERONIMA,15,Línea,1
C-64,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL CONDE DE ROMANONES,5,Línea,1
C-65,CENTRO,01-05,01,UNIVERSIDAD,PLAZA  DEL CONDE DE TORENO,5,Línea,1
C-66,CENTRO,01-04,01,JUSTICIA,CALLE  DEL CONDE DE XIQUENA,1,Línea,1
C-67,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL CONDE DUQUE,5,Línea,1
C-68,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL CONDE DUQUE,34,Línea,1
C-69,CENTRO,01-01,01,PALACIO,CALLE  DE LA CRUZADA,3,Línea,2
C-70,CENTRO,01-01,01,PALACIO,CUESTA  DE LAS DESCARGAS,10,Línea,1
C-71,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL DESENGAÑO,13,Línea,1
C-72,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL DESENGAÑO,13,Línea,1
C-73,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL DIVINO PASTOR,12,Línea,1
C-74,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL DIVINO PASTOR,26,Línea,1
C-75,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL DIVINO PASTOR,Fte 5,Línea,1
C-76,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL DOCTOR FOURQUET,35,Línea,1
C-77,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL DOCTOR PIGA,7,Línea,2
C-78,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL DOCTOR PIGA,11,Línea,1
C-79,CENTRO,01-01,01,PALACIO,CALLE  DE DON PEDRO,15,Línea,1
C-80,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL DOS DE MAYO,2,Línea,1
C-81,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL DOS DE MAYO,8,Línea,2
C-82,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL DUQUE DE RIVAS,2,Línea,1
C-83,CENTRO,01-02,01,EMBAJADORES,CALLE  DE EMBAJADORES,12,Línea,2
C-84,CENTRO,01-02,01,EMBAJADORES,CALLE  DE EMBAJADORES,31,Línea,3
C-85,CENTRO,01-02,01,EMBAJADORES,CALLE  DE EMBAJADORES,45,Línea,1
C-86,CENTRO,01-01,01,PALACIO,CALLE  DE LA ENCARNACION,4,Línea,1
C-87,CENTRO,01-01,01,PALACIO,CALLE  DE LA ESCALINATA,15,Línea,1
C-88,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LA ESCUADRA,12,Línea,1
C-89,CENTRO,01-06,01,SOL,CALLE  DE ESPARTEROS,13,Línea,2
C-90,CENTRO,01-02,01,EMBAJADORES,CALLE  DE ESPERANZA,6,Línea,1
C-91,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL ESPIRITU SANTO,28,Línea,1
C-92,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL ESPIRITU SANTO,40,Línea,1
C-93,CENTRO,01-03,01,CORTES,CALLE  DE ESPOZ Y MINA,40,Línea,2
