Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud Reserva;Texto Cajetines;Longitud;Latitud
452953,6500000000;4468303,6300000000;30/08/1999; Sin Asignar; Sin Asignar;REAL DE MERINAS, CAÑADA;136;PMR;Batería;1;3;;-3.5541059370;40.3639766650
452934,5000000000;4468319,2400000000;29/04/2002; Sin Asignar; Sin Asignar;REAL DE MERINAS, CAÑADA;136;PMR;Batería;2;6;;-3.5543326560;40.3641161800
452861,3500000000;4467997,9000000000;29/04/2002; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;Línea;1;3;;-3.5551704350;40.3612169560
452971,7900000000;4467960,6300000000;30/10/2003; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;Línea;1;5,5;;-3.5538670710;40.3608869330
452853,2400000000;4468248,4300000000;24/09/2004; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;Batería;1;3,5;;-3.5552844540;40.3634732070
452883,0400000000;4468130,5200000000;24/09/2004; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;;1;3,5;;-3.5549247510;40.3624132350
452886,8200000000;4468034,9000000000;15/11/2001; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;Línea;1;3,5;;-3.5548731850;40.3615515060
453008,6400000000;4468058,9500000000;27/12/2005; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;Batería;1;2,6;;-3.5534402170;40.3617753610
440219,2300000000;4474561,9500000000;01/12/2004;01  CENTRO;01-06 SOL;ABADA, CALLE, DE LA;9;PMR;Línea;2;12;;-3.7046680730;40.4195389610
439957,6500000000;4475643,4200000000;15/01/2013;01  CENTRO;01-05 UNIVERSIDAD;ACUERDO, CALLE, DEL;37;PMR;Línea;1;5,1;;-3.7078534310;40.4292623980
439971,3000000000;4475680,0700000000;17/02/2017;01  CENTRO;01-05 UNIVERSIDAD;ACUERDO, CALLE, DEL;38;PMR;Línea;1;5,5;;-3.7076959830;40.4295937400
439581,1100000000;4473584,2300000000;25/09/2018;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;4;PMR;Línea;1;5,5;;-3.7120965280;40.4106852160
439561,9600000000;4473610,5700000000;17/06/2024;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;10;PMR;Línea;1;8;;-3.7123246800;40.4109204150
