distrito,barrio,calle,color,bateria_linea,num_plazas
01  CENTRO,01-01 PALACIO,"CALLE DE LAS AGUAS,2",Verde,Línea,7
01  CENTRO,01-01 PALACIO,"CALLE DE LAS AGUAS,8",Verde,Línea,5
01  CENTRO,01-01 PALACIO,"CALLE DEL AGUILA,3",Verde,Línea,1
01  CENTRO,01-01 PALACIO,"CALLE DEL AGUILA,5",Verde,Línea,1
01  CENTRO,01-01 PALACIO,"CALLE DEL AGUILA,12",Verde,Línea,9
01  CENTRO,01-01 PALACIO,"CALLE DEL AGUILA,17",Verde,Línea,4
01  CENTRO,01-01 PALACIO,"CALLE DEL AGUILA,21",Verde,Línea,4
01  CENTRO,01-01 PALACIO,"CALLE DEL ALAMILLO,1",Verde,Línea,3
01  CENTRO,01-01 PALACIO,"CALLE DEL ALAMILLO,2",Verde,Línea,2
01  CENTRO,01-01 PALACIO,"CALLE DE ALGECIRAS,1",Verde,Línea,4
01  CENTRO,01-01 PALACIO,"CALLE DE ALGECIRAS,2",Verde,Línea,1
01  CENTRO,01-01 PALACIO,"CALLE DE ALGECIRAS,5",Verde,Línea,6
01  CENTRO,01-01 PALACIO,"CALLE DE ALGECIRAS,6",Verde,Línea,13
01  CENTRO,01-01 PALACIO,"CALLE DE ALGECIRAS,7",Verde,Batería,7
01  CENTRO,01-01 PALACIO,"CALLE DEL ALMENDRO,4",Verde,Línea,3
01  CENTRO,01-01 PALACIO,"CALLE DEL ALMENDRO,12",Verde,Línea,4
01  CENTRO,01-01 PALACIO,"CALLE DE LA AMNISTIA,2",Verde,Línea,4
01  CENTRO,01-01 PALACIO,"CALLE DE LA AMNISTIA,5",Verde,Línea,3
01  CENTRO,01-01 PALACIO,"CALLE DE LA AMNISTIA,7",Verde,Línea,2
01  CENTRO,01-01 PALACIO,"CALLE DE LA AMNISTIA,9",Verde,Línea,2
01  CENTRO,01-01 PALACIO,"CALLE DEL ANGEL,19",Verde,Línea,4
01  CENTRO,01-01 PALACIO,"COSTANILLA ANGELES,8",Verde,Línea,12
01  CENTRO,01-01 PALACIO,"COSTANILLA ANGELES,14",Verde,Línea,2
01  CENTRO,01-01 PALACIO,"COSTANILLA ANGELES,20",Verde,Línea,4
01  CENTRO,01-01 PALACIO,"CALLE DE ARRIETA,4",Verde,Línea,7
01  CENTRO,01-01 PALACIO,"CALLE DE ARRIETA,7",Verde,Línea,2
01  CENTRO,01-01 PALACIO,"CALLE DE ARRIETA,9",Verde,Línea,1
