ID,COD-DISTRITO,DISTRITO,COD-BARRIO,BARRIO,VIA,NUMERO,COLOR,L-B,PLAZAS
B-1,01,CENTRO,01-01,PALACIO,CALLE DE LAS AGUAS,2,Verde,Línea,"7"
B-2,01,CENTRO,01-01,PALACIO,CALLE DE LAS AGUAS,8,Verde,Línea,"5"
B-3,01,CENTRO,01-01,PALACIO,CALLE DEL AGUILA,3,Verde,Línea,"1"
B-4,01,CENTRO,01-01,PALACIO,CALLE DEL AGUILA,5,Verde,Línea,"1"
B-5,01,CENTRO,01-01,PALACIO,CALLE DEL AGUILA,12,Verde,Línea,"9"
B-6,01,CENTRO,01-01,PALACIO,CALLE DEL AGUILA,17,Verde,Línea,"4"
B-7,01,CENTRO,01-01,PALACIO,CALLE DEL AGUILA,21,Verde,Línea,"4"
B-8,01,CENTRO,01-01,PALACIO,CALLE DEL ALAMILLO,1,Verde,Línea,"3"
B-9,01,CENTRO,01-01,PALACIO,CALLE DEL ALAMILLO,2,Verde,Línea,"2"
B-10,01,CENTRO,01-01,PALACIO,CALLE DE ALGECIRAS,1,Verde,Línea,"4"
B-11,01,CENTRO,01-01,PALACIO,CALLE DE ALGECIRAS,2,Verde,Línea,"1"
B-12,01,CENTRO,01-01,PALACIO,CALLE DE ALGECIRAS,5,Verde,Línea,"6"
B-13,01,CENTRO,01-01,PALACIO,CALLE DE ALGECIRAS,6,Verde,Línea,"13"
B-14,01,CENTRO,01-01,PALACIO,CALLE DE ALGECIRAS,7,Verde,Batería,"7"
B-15,01,CENTRO,01-01,PALACIO,CALLE DEL ALMENDRO,4,Verde,Línea,"3"
B-16,01,CENTRO,01-01,PALACIO,CALLE DEL ALMENDRO,12,Verde,Línea,"4"
B-17,01,CENTRO,01-01,PALACIO,CALLE DE LA AMNISTIA,2,Verde,Línea,"4"
B-18,01,CENTRO,01-01,PALACIO,CALLE DE LA AMNISTIA,5,Verde,Línea,"3"
B-19,01,CENTRO,01-01,PALACIO,CALLE DE LA AMNISTIA,7,Verde,Línea,"2"
B-20,01,CENTRO,01-01,PALACIO,CALLE DE LA AMNISTIA,9,Verde,Línea,"2"
B-21,01,CENTRO,01-01,PALACIO,CALLE DEL ANGEL,19,Verde,Línea,"4"
B-22,01,CENTRO,01-01,PALACIO,COSTANILLA ANGELES,8,Verde,Línea,"12"
