Column,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
0,CH0001,Hospital especializado,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,,enfermeria,farmacia,fisioterapia,medicinageneral,,neurologia,,,,,,psiquiatria,rehabilitacion,urgencias,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,"4478720"
1,CH0004,Otros centros con internamiento,,,,,,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,,neurologia,nutricionydietectica,,,,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Avda de San Juan de Dios 1 28350 Ciempozuelos,Avda,de San Juan de Dios,1,28350,Ciempozuelos,447788,"4445728"
2,CH0006,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,,,otorrinolaringologia,pediatria,,,rehabilitacion,urgencias,vacunacion,Calle de Arturo Soria 17 28027 Madrid,Calle,de Arturo Soria,17,28027,Madrid,445713,"4476806"
3,CH0008,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,,oncologia,otorrinolaringologia,,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,,Calle del Maestro Ángel Llorca 8 28003 Madrid,Calle,del Maestro Ángel Llorca,8,28003,Madrid,439469,"4477302"
4,CH0009,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle de Pléyades 25 28023 Madrid,Calle,de Pléyades,25,28023,Madrid,433512,"4479432"
5,CH0011,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Avda de los Reyes Católicos 2 28040 Madrid,Avda,de los Reyes Católicos,2,28040,Madrid,438934,"4476536"
7,CH0013,Hospital especializado,,cardiologia,,,dermatologia,endocrinologia,enfermeria,,,medicinageneral,,neurologia,,oncologia,otorrinolaringologia,pediatria,,psiquiatria,,urgencias,,Calle de José Silva 7 28043 Madrid,Calle,de José Silva,7,28043,Madrid,444242,"4478477"
8,CH0017,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,,otorrinolaringologia,,,psiquiatria,rehabilitacion,urgencias,,Calle de Juan Bravo 49 28006 Madrid,Calle,de Juan Bravo,49,28006,Madrid,442633,"4476000"
9,CH0018,Hospital general,,,,,,endocrinologia,,,,,,,,,,,,,,,,Calle de Juan Bravo 39 28006 Madrid,Calle,de Juan Bravo,39,28006,Madrid,442633,"4476000"
10,CH0019,Otros centros con internamiento,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle de la Granja 8 28003 Madrid,Calle,de la Granja,8,28003,Madrid,439194,"4477479"
13,CH0024,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle del Doctor Esquerdo 83 28007 Madrid,Calle,del Doctor Esquerdo,83,28007,Madrid,443291,"4474370"
18,CH0029,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle de Diego de León 62 28006 Madrid,Calle,de Diego de León,62,28006,Madrid,442689,"4476189"
