,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,reumatologia,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
0,CH0001,Hospital especializado,CH0001,CH0001,CH0001,CH0001,CH0001,,CH0001,CH0001,CH0001,CH0001,,CH0001,,,,,,CH0001,CH0001,,CH0001,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220.0,Majadahonda,427057.0,4478720.0
1,CH0004,Otros centros con internamiento,,,,,,CH0004,CH0004,CH0004,CH0004,CH0004,,CH0004,CH0004,,,,CH0004,CH0004,CH0004,,CH0004,CH0004,Avda de San Juan de Dios 1 28350 Ciempozuelos,Avda,de San Juan de Dios,1,28350.0,Ciempozuelos,447788.0,4445728.0
2,CH0006,Hospital general,CH0006,CH0006,CH0006,CH0006,CH0006,CH0006,CH0006,CH0006,CH0006,CH0006,CH0006,CH0006,,,CH0006,CH0006,,,CH0006,,CH0006,CH0006,Calle de Arturo Soria 17 28027 Madrid,Calle,de Arturo Soria,17,28027.0,Madrid,445713.0,4476806.0
3,CH0008,Hospital general,CH0008,CH0008,CH0008,CH0008,CH0008,CH0008,CH0008,CH0008,CH0008,CH0008,CH0008,CH0008,,CH0008,CH0008,,CH0008,CH0008,CH0008,,CH0008,,Calle del Maestro Ángel Llorca 8 28003 Madrid,Calle,del Maestro Ángel Llorca,8,28003.0,Madrid,439469.0,4477302.0
4,CH0009,Hospital general,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,CH0009,,CH0009,CH0009,,CH0009,CH0009,Calle de Pléyades 25 28023 Madrid,Calle,de Pléyades,25,28023.0,Madrid,433512.0,4479432.0
5,CH0011,Hospital general,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,CH0011,,CH0011,CH0011,Avda de los Reyes Católicos 2 28040 Madrid,Avda,de los Reyes Católicos,2,28040.0,Madrid,438934.0,4476536.0
6,CH0012,Hospital general,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,CH0012,,CH0012,CH0012,Calle de Arturo Soria 103-105-107 28043 Madrid,Calle,de Arturo Soria,103-105-107,28043.0,Madrid,444683.0,4477968.0
7,CH0013,Hospital especializado,,CH0013,,,CH0013,CH0013,CH0013,,,CH0013,,CH0013,,CH0013,CH0013,CH0013,,CH0013,,,CH0013,,Calle de José Silva 7 28043 Madrid,Calle,de José Silva,7,28043.0,Madrid,444242.0,4478477.0
8,CH0017,Hospital general,CH0017,CH0017,CH0017,CH0017,CH0017,CH0017,CH0017,CH0017,CH0017,CH0017,CH0017,CH0017,CH0017,,CH0017,,,CH0017,CH0017,,CH0017,,Calle de Juan Bravo 49 28006 Madrid,Calle,de Juan Bravo,49,28006.0,Madrid,442633.0,4476000.0
9,CH0018,Hospital general,,,,,,CH0018,,,,,,,,,,,,,,,,,Calle de Juan Bravo 39 28006 Madrid,Calle,de Juan Bravo,39,28006.0,Madrid,442633.0,4476000.0
10,CH0019,Otros centros con internamiento,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,CH0019,,CH0019,CH0019,,CH0019,CH0019,Calle de la Granja 8 28003 Madrid,Calle,de la Granja,8,28003.0,Madrid,439194.0,4477479.0
11,CH0020,Otros centros con internamiento,CH0020,CH0020,CH0020,CH0020,CH0020,CH0020,CH0020,,CH0020,,CH0020,CH0020,CH0020,CH0020,CH0020,CH0020,CH0020,CH0020,CH0020,,,CH0020,Calle de Sinesio Delgado 8-10 28029 Madrid,Calle,de Sinesio Delgado,8-10,28029.0,Madrid,441186.0,4480706.0
12,CH0023,Hospital general,CH0023,CH0023,CH0023,CH0023,CH0023,CH0023,CH0023,CH0023,CH0023,,CH0023,CH0023,CH0023,CH0023,CH0023,CH0023,CH0023,CH0023,CH0023,,CH0023,CH0023,Avda de Córdoba S/N 28041 Madrid,Avda,de Córdoba,S/N,28041.0,Madrid,440837.0,4469773.0
13,CH0024,Hospital general,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,CH0024,,CH0024,CH0024,Calle del Doctor Esquerdo 83 28007 Madrid,Calle,del Doctor Esquerdo,83,28007.0,Madrid,443291.0,4474370.0
14,CH0025,Otros centros con internamiento,,,CH0025,CH0025,CH0025,,CH0025,CH0025,CH0025,,CH0025,CH0025,,,,,,,CH0025,,,,"Ctra de Colmenar Viejo K.14,500 28049 Madrid",Ctra,de Colmenar Viejo,"K.14,500",28049.0,Madrid,,
15,CH0026,Otros centros con internamiento,CH0026,CH0026,CH0026,CH0026,CH0026,CH0026,CH0026,CH0026,CH0026,,CH0026,CH0026,,,CH0026,,CH0026,CH0026,CH0026,,CH0026,,Avda de la Reina Victoria 22-26 28003 Madrid,Avda,de la Reina Victoria,22-26,28003.0,Madrid,440019.0,4477644.0
16,CH0027,Hospital general,,CH0027,CH0027,CH0027,CH0027,CH0027,CH0027,CH0027,CH0027,,CH0027,,CH0027,,CH0027,CH0027,CH0027,CH0027,CH0027,,CH0027,,"Ctra de M-600 (Guadarrama) KM.6,255 28200 San Lorenzo de El Escorial",Ctra,de M-600 (Guadarrama),"KM.6,255",28200.0,San Lorenzo de El Escorial,405268.0,4495766.0
17,CH0028,Hospital de media y larga estancia,,,,,,,CH0028,CH0028,CH0028,,,,,,,,CH0028,,CH0028,,,,Ctra de Dehesas S/N 28470 Cercedilla,Ctra,de Dehesas,S/N,28470.0,Cercedilla,409411.0,4512735.0
18,CH0029,Hospital general,CH0029,CH0029,CH0029,CH0029,CH0029,CH0029,CH0029,CH0029,CH0029,,CH0029,CH0029,CH0029,CH0029,CH0029,,CH0029,CH0029,CH0029,,CH0029,CH0029,Calle de Diego de León 62 28006 Madrid,Calle,de Diego de León,62,28006.0,Madrid,442689.0,4476189.0
19,CH0030,Otros centros con internamiento,CH0030,CH0030,CH0030,CH0030,CH0030,CH0030,CH0030,,CH0030,CH0030,CH0030,CH0030,,,CH0030,CH0030,,CH0030,,,CH0030,,Calle de San Bernabé 13 28005 Madrid,Calle,de San Bernabé,13,28005.0,Madrid,439426.0,4473404.0
20,CH0031,Hospital general,CH0031,CH0031,,,CH0031,CH0031,,CH0031,CH0031,,CH0031,CH0031,,CH0031,CH0031,,,CH0031,CH0031,,CH0031,,Plaza del Conde del Valle de Súchil 16 28015 Madrid,Plaza,del Conde del Valle de Súchil,16,28015.0,Madrid,440050.0,4475873.0
21,CH0032,Hospital general,,CH0032,CH0032,CH0032,CH0032,CH0032,CH0032,CH0032,CH0032,,CH0032,CH0032,CH0032,CH0032,CH0032,CH0032,CH0032,CH0032,CH0032,,CH0032,CH0032,Calle Doctor Luis Montes S/N 28935 Móstoles,Calle,Doctor Luis Montes,S/N,28935.0,Móstoles,,
