centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,reumatologia,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
CH0001,Hospital especializado,,,,,,,,,,CH0001,,,,,,,,,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,CH0001,,,,,,,,,,,,,,,,,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,,,,,,,,CH0001,,,,,,,,,,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,,,,,,,CH0001,,,,,,,,,,,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,,,,CH0001,,,,,,,,,,,,,,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,,,,,,,,,,,,,,,,,,,,CH0001,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,,,,,,CH0001,,,,,,,,,,,,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,,,,,,,,,,,,,,,,,CH0001,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,CH0001,,,,,,,,,,,,,,,,,,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,,,,,,,,,,,,,,,,,,CH0001,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,,,,,,,,,,,CH0001,,,,,,,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,,CH0001,,,,,,,,,,,,,,,,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0001,Hospital especializado,,,,CH0001,,,,,,,,,,,,,,,,,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,427057,4478720.0
CH0004,Otros centros con internamiento,,,,,,,,,,,,,,,,,,,,,,CH0004,Avda de San Juan de Dios 1 28350 Ciempozuelos,Avda,de San Juan de Dios,1,28350,Ciempozuelos,447788,4445728.0
CH0004,Otros centros con internamiento,,,,,,,,CH0004,,,,,,,,,,,,,,,Avda de San Juan de Dios 1 28350 Ciempozuelos,Avda,de San Juan de Dios,1,28350,Ciempozuelos,447788,4445728.0
