tipo_establecimiento,tipo_titularidad,direccion_completa,municipio_nombre,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,direccion_coordenada_x,direccion_coordenada_y,codigo_dea
Otros,Privada,"Madrid, Calle, de Suero de Quiñones, 34, 28002",Madrid,Calle,de Suero de Quiñones,34,28002,442575,4477573,"2018-1577"
Otros,Privada,"Madrid, Calle, de Suero de Quiñones, 42, 28002",Madrid,Calle,de Suero de Quiñones,42,28002,442546,4477653,"2018-2440"
Otros,Privada,"Madrid, Calle, de Suero de Quiñones, 42, 28002",Madrid,Calle,de Suero de Quiñones,42,28002,442546,4477653,"2018-2446"
Centro educativo,Privada,"Madrid, Calle, del Tajo, 6, 28002",Madrid,Calle,del Tajo,6,28002,442112,4477780,"2018-2255"
Centro de trabajo con más de 250 trabajadores,Pública,"Madrid, Plaza, de Chamberí, 8, 28010",Madrid,Plaza,de Chamberí,8,28010,440906,4475990,"2018-1949"
Instalaciones de transporte,Pública,"Madrid, Plaza, de Chamberí, 0, 28010",Madrid,Plaza,de Chamberí,0,28010,440820,4475966,"2021-275"
Centro educativo,Privada,"Madrid, Calle, de Chantada, 41, 28035",Madrid,Calle,de Chantada,41,28035,439368,4480496,"2019-996"
Establecimiento público con aforo igual o superior a 2000 personas,Pública,"Madrid, Paseo, de la Chopera, 14, 28045",Madrid,Paseo,de la Chopera,14,28045,440818,4471543,"2018-423"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Paseo, de la Chopera, 4, 28045",Madrid,Paseo,de la Chopera,4,28045,440474,4471880,"2018-1660"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Paseo, de la Chopera, 71, 28045",Madrid,Paseo,de la Chopera,71,28045,440954,4471485,"2020-341"
Establecimiento público con aforo igual o superior a 2000 personas,Privada,"Madrid, Paseo, de la Chopera, 14, 28045",Madrid,Paseo,de la Chopera,14,28045,440818,4471543,"2020-108"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Paseo, de la Chopera, 4, 28045",Madrid,Paseo,de la Chopera,4,28045,440474,4471880,"2021-140"
Otros,Privada,"Madrid, Paseo, de la Chopera, 3, 28045",Madrid,Paseo,de la Chopera,3,28045,440524,4472246,"2023-274"
Instalaciones de transporte,Pública,"Madrid, Plaza, de Chueca, 4, 28004",Madrid,Plaza,de Chueca,4,28004,440816,4474699,"2018-2994"
Establecimiento público con aforo igual o superior a 2000 personas,Pública,"Madrid, Plaza, de Cibeles, 1, 28014",Madrid,Plaza,de Cibeles,1,28014,441281,4474489,"2018-411"
Establecimiento público con aforo igual o superior a 2000 personas,Pública,"Madrid, Plaza, de Cibeles, 1, 28014",Madrid,Plaza,de Cibeles,1,28014,441281,4474489,"2018-412"
