codigo_dea,tipo_establecimiento,tipo_titularidad,direccion_completa,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,municipio_nombre,direccion_coordenada_x,direccion_coordenada_y
2018-1577,Otros,Privada,Calle de Suero de Quiñones 34 28002 Madrid,Calle,de Suero de Quiñones,34,28002,Madrid,442575,4477573.0
2018-2440,Otros,Privada,Calle de Suero de Quiñones 42 28002 Madrid,Calle,de Suero de Quiñones,42,28002,Madrid,442546,4477653.0
2018-2446,Otros,Privada,Calle de Suero de Quiñones 42 28002 Madrid,Calle,de Suero de Quiñones,42,28002,Madrid,442546,4477653.0
2018-2255,Centro educativo,Privada,Calle del Tajo 6 28002 Madrid,Calle,del Tajo,6,28002,Madrid,442112,4477780.0
2018-1949,Centro de trabajo con más de 250 trabajadores,Pública,Plaza de Chamberí 8 28010 Madrid,Plaza,de Chamberí,8,28010,Madrid,440906,4475990.0
2021-275,Instalaciones de transporte,Pública,Plaza de Chamberí 0 28010 Madrid,Plaza,de Chamberí,0,28010,Madrid,440820,4475966.0
2019-996,Centro educativo,Privada,Calle de Chantada 41 28035 Madrid,Calle,de Chantada,41,28035,Madrid,439368,4480496.0
2018-423,Establecimiento público con aforo igual o superior a 2000 personas,Pública,Paseo de la Chopera 14 28045 Madrid,Paseo,de la Chopera,14,28045,Madrid,440818,4471543.0
2018-1660,Establecimiento dependiente de una Administración Pública,Pública,Paseo de la Chopera 4 28045 Madrid,Paseo,de la Chopera,4,28045,Madrid,440474,4471880.0
2020-341,Establecimiento hotelero con más de 100 plazas,Privada,Paseo de la Chopera 71 28045 Madrid,Paseo,de la Chopera,71,28045,Madrid,440954,4471485.0
2020-108,Establecimiento público con aforo igual o superior a 2000 personas,Privada,Paseo de la Chopera 14 28045 Madrid,Paseo,de la Chopera,14,28045,Madrid,440818,4471543.0
2021-140,Establecimiento dependiente de una Administración Pública,Pública,Paseo de la Chopera 4 28045 Madrid,Paseo,de la Chopera,4,28045,Madrid,440474,4471880.0
2023-274,Otros,Privada,Paseo de la Chopera 3 28045 Madrid,Paseo,de la Chopera,3,28045,Madrid,440524,4472246.0
2018-2994,Instalaciones de transporte,Pública,Plaza de Chueca 4 28004 Madrid,Plaza,de Chueca,4,28004,Madrid,440816,4474699.0
2018-411,Establecimiento público con aforo igual o superior a 2000 personas,Pública,Plaza de Cibeles 1 28014 Madrid,Plaza,de Cibeles,1,28014,Madrid,441281,4474489.0
2018-412,Establecimiento público con aforo igual o superior a 2000 personas,Pública,Plaza de Cibeles 1 28014 Madrid,Plaza,de Cibeles,1,28014,Madrid,441281,4474489.0
2018-413,Establecimiento público con aforo igual o superior a 2000 personas,Pública,Plaza de Cibeles 1 28014 Madrid,Plaza,de Cibeles,1,28014,Madrid,441281,4474489.0
2019-204,Establecimiento dependiente de una Administración Pública,Pública,Calle de Cifuentes 5 28021 Madrid,Calle,de Cifuentes,5,28021,Madrid,440917,4466665.0
2019-202,Establecimiento dependiente de una Administración Pública,Pública,Calle de Cifuentes 5 28021 Madrid,Calle,de Cifuentes,5,28021,Madrid,440917,4466665.0
2019-123,Establecimiento dependiente de una Administración Pública,Pública,Calle de Cifuentes 5 28021 Madrid,Calle,de Cifuentes,5,28021,Madrid,470917,4466665.0
2024-930,Centro educativo,Privada,Calle del Cinca 20 28002 Madrid,Calle,del Cinca,20,28002,Madrid,442292,4477863.0
2023-435,Otros,Privada,Calle de Prat 59 28032 Madrid,Calle,de Prat,59,28032,Madrid,469170,4454658.0
2018-2277,Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,Calle de Preciados 1 28013 Madrid,Calle,de Preciados,1,28013,Madrid,440251,4474315.0
2018-2278,Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,Calle de Preciados 3 28013 Madrid,Calle,de Preciados,3,28013,Madrid,440161,4474370.0
2019-399,Centro educativo,Privada,Calle de Francisco Laguna 21 28053 Madrid,Calle,de Francisco Laguna,21,28053,Madrid,443147,4471330.0
2023-761,Centro educativo,Privada,Calle de Francisco Madariaga 26 28017 Madrid,Calle,de Francisco Madariaga,26,28017,Madrid,445659,4476265.0
2024-749,Otros,Privada,Calle de Francisco Medrano 4 28020 Madrid,Calle,de Francisco Medrano,4,28020,Madrid,440717,4478906.0
2024-521,Centro educativo,Privada,Plaza de Francisco Morano 0 28005 Madrid,Plaza,de Francisco Morano,0,28005,Madrid,439302,4472920.0
2023-263,Otros,Privada,Calle de Francisco Remiro 2 28028 Madrid,Calle,de Francisco Remiro,2,28028,Madrid,443220,4476556.0
2022-280,Establecimiento dependiente de una Administración Pública,Pública,Calle de Francisco Rioja 14 28017 Madrid,Calle,de Francisco Rioja,14,28017,Madrid,445860,4475670.0
