tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;direccion_longitud;direccion_latitud;horario_acceso;codigo_dea
Otros;Privada;079;Madrid;CALLE;de Suero de Quiñones;34;baja;;28002;PLANTA BAJA - RECEPCIÓN ;442575;4477573;-3,67717333965445;40,4468295133574;;2018-1577
Otros;Privada;079;Madrid;CALLE;de Suero de Quiñones;42;5;;28002;Zona de refugio URIA MENÉNDEZ ABOGADOS;442546;4477653;-3,67752253090536;40,4475481875495;24 horas / 7 dias a la semana;2018-2440
Otros;Privada;079;Madrid;CALLE;de Suero de Quiñones;42;;;28002;Planta baja del edificio, juntoa la enfermería ;442546;4477653;-3,67752253090536;40,4475481875495;24 horas / 7dias a la semana;2018-2446
Centro educativo;Privada;079;Madrid;CALLE;del Tajo;6;;;28002;;442112;4477780;-3,68265168012371;40,4486621545628;;2018-2255
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;PLAZA;de Chamberí;8;;;28010;;440906;4475990;-3,69670610885688;40,4324521775606;7:00-20:00 h.;2018-1949
Instalaciones de transporte;Pública;079;Madrid;PLAZA;de Chamberí;0;;;28010;METRO DE MADRID. ESTACIÓN-MUSEO DE CHAMBERI. VESTÍBULO RECEPCIÓN. ;440820;4475966;-3,69771772526569;40,4322298601055;;2021-275
Centro educativo;Privada;079;Madrid;CALLE;de Chantada;41;;;28035;ESCUELA INFALTIL LA CORTE DEL FARAÓN ;439368;4480496;-3,71526777665801;40,4729333051497;DE 7:00 A 18:00 H;2019-996
Establecimiento público con aforo igual o superior a 2000 personas;Pública;079;Madrid;PASEO;de la Chopera;14;;;28045;MATADERO MADRID. CENTRAL DE INSTALACIONES. CENTRO DE CONTROL SEGURIDAD. MADRID DESTINO CULTURAL TURISMO Y NEGOCIO;440818;4471543;-3,6973298755469;40,3923851661772;24H;2018-423
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;PASEO;de la Chopera;4;;;28045;AL FONDO DEL PASILLO CENTRAL JUNTO A ACCESO A CIA NCNAL DE DANZA INAEM;440474;4471880;-3,70141437367628;40,395396521516;L A V 9-16.30;2018-1660
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;PASEO;de la Chopera;71;;;28045;HALL / ENTRADA AL HOTEL ;440954;4471485;-3,69572214908753;40,391872323738;24H;2020-341
Establecimiento público con aforo igual o superior a 2000 personas;Privada;079;Madrid;PASEO;de la Chopera;14;;;28045;MATADERO MADRID, CINETECA, entrada principal ;440818;4471543;-3,6973298755469;40,3923851661772;;2020-108
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;PASEO;de la Chopera;4;;;28045;INAEM ;440474;4471880;-3,70141437367628;40,395396521516;LUNES A VIERNES DE 09:00 A 16:30 HORAS;2021-140
Otros;Privada;079;Madrid;PASEO;de la Chopera;3;;;28045;COMUNIDAD PROPIETARIOS CHOPERA, 3 ;440524;4472246;-3,70085943738512;40,3986972074286;;2023-274
