PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
1915;"Fernán Gómez Centro Cultural de la Villa";"";"Consultar en la página del teatro.";"Sala Guirau (aforo 689 personas).  Sala Jardiel Poncela (aforo desde 95 hasta 175 personas, depende de la disposición de la obra que represente).   Sala de exposiciones (2000 m2)  Sala III   Sala Polivalente.";"Metro: Colón (línea 4), Serrano (línea 4)  Bus: 14, 150, 27, 45, 5, 21, 37, C03, 53  Bicimad: Estación 93 (calle Goya, 1) / Estación 10 (calle Marqués de la Ensenada, 16)  Renfe: Recoletos  Aparcamiento: Colón (2), Plaza de Colón";"";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD";"COLON";"PLAZA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28001";"1";"RECOLETOS";"4";"SALAMANCA";"441472";"4475155";"40.4249721516942";"-3.689948085098791";"914 362 540 / 913 184 630 / 913 184 631 (Centralita)
913 184 631 (Información programación)";"";"info.tfg@teatrofernangomez.es";"/contenido/entidadesYorganismos/Teatros"
12394118;"Nave 10 Matadero. Creación Dramática Contemporánea";"Situado dentro del recinto de Matadero Madrid, Nave 10 Matadero es un centro público de producción y difusión de artes escénicas dedicado a la creación dramática contemporánea con una programación estable y accesible para el público. Este nuevo espacio teatral, dependiente del Área de Cultura, Turismo y Deporte del Ayuntamiento de Madrid, tiene como principal objetivo el fomento de las nuevas dramaturgias y direcciones de escena, generando un lugar de encuentro, pensamiento y diálogo para el desarrollo de ideas, prácticas y creaciones artísticas entre autores y directores emergentes y profesionales consagrados.  Para concentrar, potenciar y visibilizar el talento de los creadores de Madrid y otros lugares, Nave 10 Matadero se apoya en tres pilares fundamentales: autoría contemporánea en castellano, nueva dirección de escena y formación e innovación en artes escénicas. El proyecto, que desarrolla su actividad en las salas Max Aub, Hormigón y Madera de Nave 10 Matadero, quiere prestar especial atención al entorno y al barrio en el que se ubica con un programa de mediación abierto a sus vecinos.  Nave 10 Matadero es un teatro para el espectador del siglo XXI.";"";"";"Metro: Legazpi (líneas 3 y 6)      Renfe: Embajadores (línea C5)";"";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=835295423e700910VgnVCM2000001f4a900aRCRD";"CHOPERA";"PASEO";"V";"14";"";"";"";"";"MADRID";"MADRID";"28045";"3";"CHOPERA";"2";"ARGANZUELA";"440828";"4471551";"40.39245798191536";"-3.6972067902718897";"";"";"";"/contenido/entidadesYorganismos/Teatros"
6963121;"Naves del Español Matadero";"Las salas de este espacio     Sala Fernando Arrabal (Nave 11)  Inaugurada en el año 2007, la Sala Fernando Arrabal &amp;ndash; Nave 11 es la mayor de las tres naves. Se trata de una sala polivalente donde se puede diseñar todo tipo de distribución de gradas y escenarios.   Sala Max Aub (Nave 10)   Inaugurada en 2010, la Sala Max Aub &amp;ndash; Nave 10 es de menores dimensiones que la 11, pero de mismas características: sala polivalente donde se puede diseñar todo tipo de distribución de gradas y escenarios.  Café Naves Matadero (Nave 12)   Espacio donde se encuentra el bar cafetería que da servicio a todo el complejo Matadero. Tiene, además, un escenario movible con gradas con posibilidad de cambio de distribución. En él se hacen espectáculos de café-teatro, conciertos de pequeño formato, presentaciones, etc.   Sala Hormigón (Nave 10)   Situada a un lado de la Sala Max Aub, se utiliza principalmente como sala de ensayos, pero a veces se hacen ruedas de prensa o se habilitan como salas de exhibición de pequeño formato (teatro familiar).   Sala Madera (Nave 10)   Situada a un lado de la Sala Max Aub, se utiliza principalmente como sala de ensayos, pero a veces se hacen ruedas de prensa o se habilitan como salas de exhibición de pequeño formato (teatro familiar).";"Horario de taquilla (situada frente a Cantina de Cineteca) en acceso Plaza de Legazpi: de martes a domingo, de 16:30 a 20:30 horas o hasta inicio de actividad. Lunes cerrado.";"";"Metro: Legazpi (líneas 3 y 6)      Renfe: Embajadores (línea C5)";"La venta de entradas online continúa activa en la web Teatro Español. Entradas en taquillas y Venta de entradas";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4582ee06ea5ee310VgnVCM2000000c205a0aRCRD";"CHOPERA";"PASEO";"V";"14";"";"";"";"";"MADRID";"MADRID";"28045";"3";"CHOPERA";"2";"ARGANZUELA";"440828";"4471551";"40.39245798191536";"-3.6972067902718897";"913 184 528 (taquilla) / 913 184 700 (información al espectador)";"";"";"/contenido/entidadesYorganismos/Teatros"
11990372;"Real Teatro de Retiro. Centro Cultural Daoíz y Velarde";"El Área de Cultura, Turismo y Deporte del Ayuntamiento de Madrid ha habilitado un nuevo espacio escénico en el Centro Cultural Daoíz y Velarde, ubicado en el distrito de Retiro, que amplia la descentralización de la cultura de la capital. Para ello, ha realizado una rehabilitación integral del antiguo cuartel de artillería de Daoíz y Velarde, construido a finales del siglo XIX, que ha buscado el equilibrio entre la arquitectura original y las funciones actuales. El Ayuntamiento de Madrid y el Teatro Real han firmado un acuerdo que permite poner en marcha un nuevo proyecto que nace con el objetivo de convertirse en un espacio cultural y artístico de referencia para niños y jóvenes en la ciudad, en el que ofrecer un acercamiento y aprendizaje en el ámbito de las artes escénicas, incluyendo ópera, danza, teatro de texto, títeres, cuentos musicales, talleres y otras actividades para toda la familia. El edificio, de 7.700 m2 distribuidos en cuatro plantas, cuenta con un gran espacio para actos culturales y exposiciones, una Sala Principal con un amplio escenario y capacidad para 330 butacas, una Sala Polivalente (con 72 butacas en graderío retráctil y espacio escénico versátil), salas de ensayos, talleres y otras dependencias auxiliares. Con la puesta en marcha de este nuevo centro municipal, el Área de Cultura, Turismo y Deporte refuerza su compromiso con el tejido cultural madrileño, incrementa la oferta cultural en los distritos e incorpora un séptimo espacio escénico en su red teatral. El Real Teatro de Retiro es el proyecto artístico del Teatro Real dedicado al público infantil, juvenil y familiar. Su programación incluye espectáculos de ópera, teatro, títeres y danza para niños y jóvenes así como conciertos, cine, cuentos musicales y talleres dirigidos a grandes y pequeños. Los espectáculos se programan también para colegios con funciones escolares en horario de mañana. El espacio acoge los proyectos educativos y sociales LÓVA (La Ópera, un Vehículo de Aprendizaje) y AMI (Agrupación Musical Inclusiva). El Real Teatro de Retiro surge de la colaboración entre el Teatro Real y el Ayuntamiento de Madrid, promoviendo el acceso a la cultura y grandes experiencias para vivir en familia.";"Horarios de atención y taquilla:   De miércoles a sábado, de 10 a 14 y de 16 a 19:30 horas. Domingos sin función, de 10 a 14 horas. Domingos con función, de 10 a 14 horas, y si la función es de tarde, desde dos horas antes de la función hasta el inicio de ésta. Festivos con función, dos horas antes de la función y hasta el inicio de ésta. Festivos sin función: cerrado.";"Accesibilidad: 6 asientos para personas con movilidad reducida.   Canales de venta: Online, taquillas y telefónica.  Aforo: Sala Principal 330 butacas, Sala Pacífico 120 butacas.";"Renfe Cercanías: Atocha";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f38753c30397810VgnVCM1000001d4a900aRCRD";"DAOIZ Y VELARDE";"PLAZA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28007";"1";"PACIFICO";"3";"RETIRO";"442535";"4472575";"40.40180567689773";"-3.6771876805396864";"810583274";"";"";"/contenido/entidadesYorganismos/Teatros"
7572916;"Teatro Auditorio Casa de Campo";"Tiene una excelente calidad acústica y visual y es perfecto para la celebración de conciertos, funciones teatrales, seminarios, convenciones y espectáculos. Dispone de un escenario semicircular, cafetería y amplias zonas de acceso.";"";"";"Metro: Lago (Línea 10), Puerta del Ángel (Línea 6)  Bus: 31, 33, 36, 39, 65";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9d5dce7e6a17410VgnVCM2000000c205a0aRCRD";"PRINCIPAL";"AVENIDA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28011";"1";"CASA DE CAMPO";"9";"MONCLOA-ARAVACA";"437121";"4473927";"40.41359310144815";"-3.7411161249274913";"915 787 758";"";"";"/contenido/entidadesYorganismos/Teatros"
184955;"Teatro Circo Price";"Toma su nombre del que existió, durante casi un siglo, en el Paseo de Recoletos. A comienzos del 2000, el Ayuntamiento recuperó el antiguo edificio industrial de una fábrica, de estilo neomudéjar, para ubicar el nuevo Teatro Circo Price que desde 2007 ofrece una variada programación de circo, música y teatro.";"Taquilla   De martes a viernes de 17:30 a 20:30 horas. Los fines de semana la taquilla abre dos horas antes del inicio de la sesión (consultar matinalees)";"Espacios:   Sala principal Pista circular y escenario Sala Parish 2 salas de exposiciones (sala Malabar y sala Trapecio 1 Sala de ensayos  12 Camerinos   Aparcamiento propio y vigilado, entrada por la calle Juan Sebastián Elcano, 25, de uso exclusivo para los espectadores y con horario limitado sujeto al espectáculo.";"Metro: Embajadores (línea 3) , Lavapiés (línea 3), Estación del Arte (Atocha) (línea 1)  Bus: 27, 34, 36, 41, 119, C03, C2, C1  Renfe: Embajadores (C5)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=432257258ae5d010VgnVCM1000000b205a0aRCRD";"ATOCHA";"RONDA";"V";"35";"";"";"";"";"MADRID";"MADRID";"28012";"6";"PALOS DE LA FRONTERA";"2";"ARGANZUELA";"440722";"4473051";"40.40596936645757";"-3.698589986849812";"913 184 700";"";"";"/contenido/entidadesYorganismos/Teatros"
2190;"Teatro Español";"La historia del Teatro Español de Madrid comienza el 21 de septiembre de 1583,  momento en el que tiene lugar su primera representación, y continúa hasta el día de hoy, convirtiéndose así en el teatro más antiguo del mundo en cuanto a representación continuada se refiere. Acercarse al Teatro Español en la actualidad es entrar en un edificio único en cuanto a su historia, vida, anécdotas y actualidad. Entre sus espacios destacamos: La Sala Principal con 735 localidades de perfecta visibilidad, dispuestas en tres pisos con una prodigiosa acústica. En sus tablas vieron por primera vez la luz las obras de Cervantes, Lope de Vega, Tirso de Molina, Calderón, Duque de Rivas, Zorrilla, Pérez Galdós, Unamuno, Valle-Inclán, Benavente, los Machado, García Lorca, Mihura o Buero Vallejo, entre otros. La Sala Margarita Xirgu, situada en el antiguo Café del Príncipe, se convirtió en 2006 en sala de teatro de unas 110 localidades, que varían según la disposición de las gradas, pudiendo adoptar distintas configuraciones: una, dos, tres o incluso a cuatro bandas. Otros espacios con encanto del Teatro son: El Salón de Té, el Salón Tirso de Molina, el Parnasillo y el espacio Andrea D&amp;acute;Odorico.";"";"La Sala Principal cuenta con 735 localidades, dispuestas en tres pisos con una prodigiosa acústica. En sus tablas vieron por primera vez la luz las obras de Lope de Vega, Tirso de Molina, Calderón, Duque de Rivas, Zorrilla, Pérez Galdós, Unamuno, Valle-Inclán, Benavente, los Machado, García Lorca, Mihura o Buero Vallejo, entre otros. La Sala Margarita Xirgu, situada en el antiguo Café del Príncipe, se convirtió en 2006 en sala de teatro de unas 110 localidades, que varían según la disposición de las gradas, pudiendo adoptar distintas configuraciones: una, dos, tres o incluso a cuatro bandas. El espacio Andrea D&amp;acute;Odorico, situado encima de la sala Margarita Xirgu, es una sala con infinidad de usos desde ruedas de prensa, charlas, encuentros a exposiciones.   El Salón de Té, donde existe un &amp;ldquo;reloj-ascensor&amp;rdquo; de principios de siglo y es utilizado para realizar actos institucionales. En otro tiempo fue el verdadero ambigú del Teatro Español. Es una sala del siglo XIX, obra de Juan de Villanueva.  El Parnasillo, un lugar especialmente recordado porque en él los dramaturgos se reunían con la compañía para hacer la primera lectura de la obra. En 1929 se decoró con una valiosa colección de retratos de artistas y literatos, única en su género, realizada por el pintor José Sánchez Pescador. El Salón Tirso de Molina, que en su origen fue el saloncito privado donde los primeros actores y actrices recibían a sus allegados,  es un espacio de gran belleza por su carácter neoclásico, obra de Juan de Villanueva. Está situado en la segunda planta del Teatro Español y todos sus balcones miran a la Plaza Santa Ana.";"Metro: Sevilla (línea 2), Sol (líneas 1, 2, 3)  Bus: 002, 6, 26, 32, M1, M3  Renfe: Sol (líneas C3 y C4)";"Entradas en taquilla y en la página web. Sistema de sobretitulado para personas con discapacidad auditiva. Sistema de audiodescripción para personas con discapacidad visual.";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD";"PRINCIPE";"CALLE";"V";"25";"";"";"";"";"MADRID";"MADRID";"28012";"3";"CORTES";"1";"CENTRO";"440597";"4474036";"40.414828532240946";"-3.700164949543688";"913 601 484 (taquilla) / 914 520 472 (centralita)";"";"";"/contenido/entidadesYorganismos/Teatros"
10242463;"Teatro Monumental";"";"";"";"Metro: Antón Martín (línea 1).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=40388b6bab5b9510VgnVCM1000001d4a900aRCRD";"ATOCHA";"CALLE";"V";"65";"";"";"";"";"MADRID";"MADRID";"28012";"3";"CORTES";"1";"CENTRO";"440680";"4473775";"40.41248873703834";"-3.699161734460963";"914 291 281";"";"infopublico.orquestaycoro@rtve.es";"/contenido/entidadesYorganismos/Teatros"
4077;"Teatro Municipal de Títeres. Parque de El Retiro";"Dentro del parque de El Retiro, muy cerca de la entrada desde la plaza de la Independencia, donde se encuentra la Puerta de Alcalá, está el Teatro de Títeres, toda una institución para el público infantil madrileño.  Este teatro permanente ofrece representaciones, normalmente, los sábados y domingos en diferentes horarios según la climatología de cada época del año y está dedicado el mundo del títere y la marioneta.";"";"";"Metro: Retiro (línea 2).  Bus: 1, 2, 9, 15, 19, 20, 51, 52, 74, 146, 28.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=784d8c7c0f91f010VgnVCM1000000b205a0aRCRD";"MÉXICO";"AVENIDA";"V";"4";"";"";"";"Parque de El Retiro. Entrada por Puerta de la Independencia";"MADRID";"MADRID";"28009";"";"LOS JERÓNIMOS";"";"RETIRO";"441748";"4474466";"40.41878362561595";"-3.6866519471003647";"";"";"";"/contenido/entidadesYorganismos/Teatros"
10890410;"Teatro Municipal de Vallecas";"Para la construcción del teatro se ha remodelado el antiguo salón de actos de la Biblioteca Gerardo Diego. Cuenta con cien butacas y se especializa en la programación de teatro y de cine. Alberga la escuela de teatro de Vallecas. Dentro de su programación, se ha previsto que se celebren tres representaciones teatrales y una proyección cinematográfica al mes, en sábado, completando así la oferta los centros culturales del distrito, cuyas actividades se convocan los viernes.";"Para atención presencial, pedir cita en el teléfono de contacto.  Horario habitual: lunes a viernes, 17 a 21 horas. Sábados, de 10 a 14 horas.";"El aforo es de 94 butacas más 2 de movilidad reducida. 3 aulas para clases.";"Metro: Villa de Vallecas (línea 1)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD";"PASO DE VILLAMANRIQUE";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28031";"1";"CASCO H.VALLECAS";"18";"VILLA DE VALLECAS";"447122";"4469857";"40.37762362093048";"-3.6229095774784765";"657 181 582";"";"";"/contenido/entidadesYorganismos/Teatros"
