PK,NOMBRE,NOMBRE_RECON,SUBTIPO,DESCRIPCION,FECHA,AUTORES,PDF,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,BARRIO_RECON,COD-DISTRITO,DISTRITO,DISTRITO_RECON,COORDENADA-X,COORDENADA-Y,ID,LATITUD,LONGITUD
400147,abundancia,https://wikidata.org/entity/Q110746395,Grupo Escultórico,"En el año 1958 se celebró un sorteo extraordinario de la Lotería Nacional con el fin de recabar fondos para construir una nueva sede para la Central de Loterías y Apuestas del Estado, que sustituyese a la que desde 1932 se hallaba en la calle de Montalbán. El nuevo edificio se inauguró en 1963 al final de la calle de Guzmán el Bueno, y fue construido según un proyecto de corte monumentalista –pero moderno en sus detalles– diseñado por el arquitecto Manuel Ródenas, autor de otras obras destinadas a las Aduanas del Estado durante esos años, que en la enfática entrada retranqueada respecto de la calle dispuso dos grupos escultóricos flanqueando la plataforma escalonada donde se abren las puertas principales. Estos grupos fueron realizados por el escultor murciano –de Espinardo– José Planes Peñalver (1891-1974), artista con una carrera llena de éxitos –como el Premio Nacional de Escultura de 1932 o el primer premio del Concurso Nacional de Bellas Artes del año 1943–, que en 1933 fundó la Escuela de Artes y Oficios de Murcia de la que fue director, y en 1960 fue nombrado académico de la Real Academia de Bellas Artes de San Fernando. Este edificio fue compartido con la Dirección General de Aduanas hasta el año 2000, lo que explica que se haya querido atribuir una representación simbólica a cada escultura en relación con las Aduanas o la Lotería, cuando los atributos que se hacen visibles corresponden a la Abundancia (un haz de trigo) o a la Fortuna (un cántaro con monedas).",1963,"PLANES PEÑALVER, José - TORRES GUARDIA, José",https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/400147.pdf?idMonumento=a038091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=a038091d1b9c4510091d1b9c45102e085a0aRCRD,guzman-el-bueno,CALLE,V,137.0,MADRID,MADRID,28003,6,vallehermoso,https://wikidata.org/entity/Q6122685,7,chamberi,https://wikidata.org/entity/Q1763370,439568,4477304,4395684477304,4.04442e-15,-3.712595
400108,ad-iesum-per-mariam,https://wikidata.org/entity/Q110746398,Grupo Escultórico,"El grupo escultórico conocido como &amp;ldquo;Camino de Santidad&amp;rdquo; está, dedicado al Papa polaco Juan Pablo II (1920-2005), y se debe a una iniciativa del presidente del Grupo Intereconomía, Julio Ariza Irigoyen, y del presidente de la Mutua Madrileña Automovilista, José María Ramírez Pomata. Fue sufragado por suscripción popular e inaugurado el 8 de Diciembre de 2005 en el paseo de la Castellana, junto Museo de Arte Abstracto al Aire Libre. En el año 2014 fue trasladado al parque municipal Juan Pablo II, un parque de más de 10 hectáreas situado entre el Pinar de Barajas, la Avenida del Papa Negro, la Avenida de los Andes y la Avenida de Machupichu.   La escultura se encargó al escultor emeritense Juan de Ávalos (1911-2006), célebre autor de las esculturas del Valle de los Caídos y otros muchos monumentos repartidos por toda la geografía hispana. Es una de las últimas obras de este autor, represaliado por el régimen franquista -a pesar de lo cual hizo los principales monumentos de ese periodo- que acudió repetidas veces a sus potentes cualidades expresivas para magnificar personajes y acontecimientos significativos de la Dictadura. En el año 2007 se añadieron dos nuevas inscripciones en las paredes laterales del pedestal.",2005,"ÁVALOS GARCÍA TABORDA, Juan de",https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/400108.pdf?idMonumento=6f28091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6f28091d1b9c4510091d1b9c45102e085a0aRCRD,machupichu,AVENIDA,V,1.0,MADRID,MADRID,28043,2,la-piovera,https://wikidata.org/entity/Q5964851,16,hortaleza,https://wikidata.org/entity/Q1928529,447131,4478496,4471314478496,40.45545,-3.623524
408090,adhesion-de-espana-a-la-comunidad-europea,https://wikidata.org/entity/Q110746400,"Elemento conmemorativo, Lápida","Monolito erigido el 1 de enero de 1986 para conmemorar el acceso de España a la Comunidad Económica Europea, gracias al tratado internacional firmado en Madrid el 12 de junio de 1985 y siendo alcalde Enrique Tierno Galván. Formaba parte de un conjunto de piezas de diseño urbano, fuente, bancos, arbolado, que fueron objeto del premio de Diseño del propio Ayuntamiento en 1988.",1986,"FEDUCHI CANOSA, Pedro - MORENO MANSILLA, Luis - SOTO, Álvaro",https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408090.pdf?idMonumento=a4a8091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=a4a8091d1b9c4510091d1b9c45102e085a0aRCRD,provincia,PLAZA,V,1.0,MADRID,MADRID,28012,6,sol,https://wikidata.org/entity/Q2465181,1,centro,https://wikidata.org/entity/Q1763376,440112,4474026,4401124474026,40.41471,-3.705871
400131,agricultor-agricultura-y-progreso,https://wikidata.org/entity/Q110746404,Escultura conceptual o abstracta,"Con ocasión de un congreso realizado en este palacio del paseo de la Castellana, poco después de su inauguración, la empresa de maquinaria agrícola participante John Deere Ibérica, S. A. donó este grupo en bronce modelado por el escultor murciano –de Caravaca de la Cruz- José Carrilero Gil, Premio Nacional de Escultura en 1960 y académico de número de la Real Academia de Bellas Artes de Santa María de la Arrixaca de Murcia, que se formó en la Escuela de Bellas Artes de San Fernando de Madrid y en la Academia Española en Roma, donde estuvo entre 1959 y 1962 becado por el Ministerio de Asuntos Exteriores. De esta pieza, compuesta por tres figuras entrelazadas como alegoría de las gentes que se dedican a la agricultura, existen cerca de 30 copias repartidas por toda España. En Madrid existen dos réplicas más: una en el Recinto Ferial de la Casa de Campo [9220] y otra en la Ciudad Universitaria [n0197].",1969,"CARRILERO GIL, José",https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/400131.pdf?idMonumento=0348091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=0348091d1b9c4510091d1b9c45102e085a0aRCRD,castellana,PASEO,V,101.0,MADRID,MADRID,28046,2,cuatro-caminos,https://wikidata.org/entity/Q5824684,6,tetuan,https://wikidata.org/entity/Q1773540,441398,4478317,4413984478317,40.45345,-3.691111
408457,al-nino,https://wikidata.org/entity/Q110746412,Grupo Escultórico,"Este pequeño monumento fue donado por el escultor abulense –de Navaescurial– Santiago de Santiago Hernández a Unicef, organismo de Naciones Unidas dedicado a la protección mundial de la infancia, que a su vez lo ofreció a la Villa de Madrid; siendo instalado en el centro de un pequeño estanque circular, como una fuente, en los jardines que rodean a la parroquia de San Fernando, junto a la calle Alberto Alcocer, que estaban recién construidos en 1979, fecha en que se coloca la pieza. El acto inaugural fue presidido por la Infanta Margarita de Borbón, en presencia del presidente de la Junta del Distrito de Chamartín y de una representación de Unicef. Años más tarde, se rellenó el estanque para convertirlo en una jardinera plantada con adelfas.Santiago de Santiago tiene numerosas obras repartidas por la ciudad de Madrid, como los bustos a Andrés Segovia y Álvaro Iglesias Sánchez en el propio distrito de Chamartín.",1979,"SANTIAGO HERNÁNDEZ, Santiago de",https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408457.pdf?idMonumento=a828091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=a828091d1b9c4510091d1b9c45102e085a0aRCRD,alberto-alcocer,AVENIDA,V,1.0,MADRID,MADRID,28036,5,nueva-espana,https://wikidata.org/entity/Q10338128,5,chamartin,https://wikidata.org/entity/Q1766348,441603,4478973,4416034478973,40.45937,-3.688757
409257,al-siglo-xxi,https://wikidata.org/entity/Q110746414,Grupo Escultórico,"Como ornamentación e hito urbano para el barrio de Las Rosas, urbanización realizada a partir de 1992 como remate de las zonas edificadas entre el cinturón M-40 y los barrios de Canillejas y San Blas, se levantó en 1999 un monumento al siglo XXI, en la mediana de la carretera que conduce al vecino barrio de Vicálvaro, antes pueblo independiente cercano a Madrid. La obra es del escultor barcelonés Luis Sanguino, artista discípulo de Federico Coullaut-Valera que obtuvo un temprano triunfo en 1952 al ganar junto a Antonio Martín el concurso nacional para los guerreros dolientes del Valle de los Caídos. Tras residir largas temporadas en Estados Unidos y México, volvió definitivamente a España en 1986, habiendo realizado numerosas piezas escultóricas repartidas por todo Madrid, como el bajorrelieve del Encierro y los monumentos al Yiyo y a Antonio Bienvenida junto a la plaza de Toros Monumental de Las Ventas, las puertas y los doce Apóstoles que rodean el tambor de la catedral de la Almudena, o la fuente del Homenaje a la Mujer y los monumentos a Cervantes, a Manolete y de nuevo al Yiyo en el mismo distrito de San Blas.",1999,"SANGUINO, Luis",https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/409257.pdf?idMonumento=ad28091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=ad28091d1b9c4510091d1b9c45102e085a0aRCRD,canillejas-a-vicalvaro,AVENIDA,V,159.0,MADRID,MADRID,28032,5,rosas,https://wikidata.org/entity/Q18880469,20,san-blas-canillejas,https://wikidata.org/entity/Q2001937,448151,4474771,4481514474771,40.42195,-3.611192
408837,commemorative-plaque-to-alberto-aguilera-madrid,https://wikidata.org/entity/Q28031230,"Elemento conmemorativo, Lápida","Alberto Aguilera nació en Valencia en 1840 y murió en Madrid en 1913. Escritor y político vinculado al Partido Liberal, fue un personaje muy unido a la historia de Madrid, ya que fue tres veces alcalde, así como diputado, senador y Ministro de Gobernación en el gabinete presidido por Sagasta.Entre las reformas urbanas realizadas bajo su mandato destacan la creación del Parque del Oeste, el Laboratorio  Municipal y el Asilo de Santa Cristina; mandó erigir las estatuas a Quevedo, Lope de Vega, Bravo Murillo, Arg&amp;uuml;elles y al marqués de Salamanca.La lápida se instaló en la casa donde vivió y murió en la calle Magdalena, iniciativa del Ayuntamiento de Madrid en homenaje al setenta y cinco aniversario de su muerte; la inauguración tuvo lugar el 20 de diciembre de 1988.El diseño de la lápida fue realizado por Joaquín Roldán, Arquitecto Jefe de la Sección del Patrimonio Histórico-Artístico del Departamento de Conservación de Edificaciones",1988,"ROLDÁN PASCUAL, Joaquín",https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408837.pdf?idMonumento=22c8091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=22c8091d1b9c4510091d1b9c45102e085a0aRCRD,magdalena,CALLE,V,6.0,MADRID,MADRID,28012,2,embajadores,https://wikidata.org/entity/Q2449844,1,centro,https://wikidata.org/entity/Q1763376,440370,4473764,4403704473764,40.41236,-3.702805
408540,alejandro-munoz-revenga,https://wikidata.org/entity/Q110746419,"Elemento conmemorativo, Lápida","Los terrenos sobre los que se halla este jardín, anexos a la Iglesia del Cristo de las Victorias, construcción con pretensiones clasicistas acabada en 1963, estuvieron durante muchos años vallados hasta que en la década de los ochenta se abrieron al público como jardín municipal. Pocos años después se excavaron para construir un aparcamiento con la cubierta ajardinada. Fue el momento en que se les dió el nombre del concejal del Partido Popular, Alejandro Muñoz Revenga, fallecido el día 26 de Abril de 1989 a causa de un accidente de tráfico. Para conmemorar esta dedicación se levantó un pequeño pedestal formado por un 'collage' de piezas talladas procedentes de restos de los almacenes municipales, a los que se fijó una lápida con la fecha de 16 de julio de 1990, en que fue inaugurada la pieza, encargándose de la instalación el arquitecto Manuel Rivero Vázquez, y Manuel Sánchez Vega.",1990,,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408540.pdf?idMonumento=abb8091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=abb8091d1b9c4510091d1b9c45102e085a0aRCRD,melendez-valdes,CALLE,V,1.0,MADRID,MADRID,28015,2,arapiles,https://wikidata.org/entity/Q10856744,7,chamberi,https://wikidata.org/entity/Q1763370,439842,4476036,4398424476036,40.43279,-3.709246
408354,monolito-al-alferez-provisional-madrid,https://wikidata.org/entity/Q29566707,"Elemento conmemorativo, Lápida","Se trata de un monolito inaugurado el 23 de mayo de 1965, a propuesta de la Hermandad de Alféreces Provisionales, y previa aceptación del Ayuntamiento de Madrid, entonces presidido por el Conde de Mayalde. Se pedía además que se le dedicara a los 'estampillados', o militares franquistas habilitados a un empleo superior durante la Guerra Civil, una plaza en la ciudad, siendo finalmente la elegida este ensanchamiento de la calle de Felipe IV, frente al Salón de Reinos, sede del antiguo Museo del Ejército. El acto de inauguración estuvo presidido por el nuevo alcalde Carlos Arias Navarro, el ministro de Comercio Alberto Ullastres, el gobernador militar de Madrid, el Jefe del Estado Mayor del Aire, el presidente de la Diputación Provincial y el de la Hermandad Nacional de Alféreces Provisionales, bendiciendo el obelisco el párroco de San Jerónimo el Real.",1965,,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408354.pdf?idMonumento=a2b8091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=a2b8091d1b9c4510091d1b9c45102e085a0aRCRD,felipe-iv,CALLE,V,1.0,MADRID,MADRID,28014,5,jeronimos,https://wikidata.org/entity/Q10306766,3,retiro,https://wikidata.org/entity/Q2002296,441251,4474088,4412514474088,40.41534,-3.692451
400034,statue-of-alfonso-x-of-castile-in-sabatini-gardens,https://wikidata.org/entity/Q66356623,Estatua,"Al aproximarse la finalización de las obras  de la Biblioteca y Museo Arqueológico Nacionales, que se había iniciado en 1866 por el arquitecto albaceteño Francisco Jareño y Alarcón, y continuado en 1885 por el cántabro Antonio Ruiz de Salces, se convocó en 1891 por la Real Academia de Bellas Artes un concurso público entre escultores españoles, en el que se fijaban los temas y las dimensiones de todas las obras que debían ornamentarla con el fin de completar de esa forma tan importante construcción. Este estricto concurso, como todos los de su época, solicitaba a los autores de los bocetos escogidos el que se realizase una réplica en yeso a tamaño natural, que se juzgaba una vez observada en su situación de destino antes de ser premiada y tallada de forma definitiva. El escultor ganador de la propuesta de estatua a Alfonso X “El Sabio” (1221–1284), así como la de San Isidoro con la que hace pareja flanqueando la escalinata de la entrada a la Biblioteca Nacional, y la de Alonso Berruguete que se halla en el lado del Museo Arqueológico, fue José Alcoverro Amorós (1835–1910), escultor tarraconense afincado en Madrid, discípulo de José Piquer y autor entre otras, de las estatuas del Padre Piquer en la plaza de las Descalzas, y de Agustín Arg&amp;uuml;elles, antes situada en la calle de la Princesa.Por la estatua de Alfonso X Alcoverro cobró 17.500 pesetas, y ejecutó con gran potencia expresiva una representación sedente del rey, autor de las Cantigas y las Siete Partidas, sobre un asiento medieval, a sugerencia de la Academia, que prefirió esa posición en lugar del pedestal arquitectónico que había propuesto el autor. Se labró en mármol blanco italiano, respetando las medidas que había dictado la propia Academia, siendo una obra muy alabada por su serena monumentalidad.",1892,"ALCOBERRO Y AMORÓS, José",https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/400034.pdf?idMonumento=8d18091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=8d18091d1b9c4510091d1b9c45102e085a0aRCRD,recoletos,PASEO,V,20.0,MADRID,MADRID,28001,1,recoletos,https://wikidata.org/entity/Q3814551,4,salamanca,https://wikidata.org/entity/Q1773521,441395,4474937,4413954474937,4.042300000000001e-16,-3.690836
