TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
ALORA_0630_0700,54405,ALORA,MÁLAGA,06:30 - 07:00,33,3.0
ALORA_0730_0800,54405,ALORA,MÁLAGA,07:30 - 08:00,17,6.0
ALORA_0830_0900,54405,ALORA,MÁLAGA,08:30 - 09:00,39,12.0
ALORA_1000_1030,54405,ALORA,MÁLAGA,10:00 - 10:30,0,23.0
ALORA_1030_1100,54405,ALORA,MÁLAGA,10:30 - 11:00,16,0.0
ALORA_1200_1230,54405,ALORA,MÁLAGA,12:00 - 12:30,0,40.0
ALORA_1230_1300,54405,ALORA,MÁLAGA,12:30 - 13:00,10,0.0
ALORA_1300_1330,54405,ALORA,MÁLAGA,13:00 - 13:30,0,27.0
ALORA_1330_1400,54405,ALORA,MÁLAGA,13:30 - 14:00,13,0.0
ALORA_1400_1430,54405,ALORA,MÁLAGA,14:00 - 14:30,0,13.0
ALORA_1430_1500,54405,ALORA,MÁLAGA,14:30 - 15:00,26,0.0
ALORA_1500_1530,54405,ALORA,MÁLAGA,15:00 - 15:30,0,28.0
ALORA_1530_1600,54405,ALORA,MÁLAGA,15:30 - 16:00,31,0.0
ALORA_1600_1630,54405,ALORA,MÁLAGA,16:00 - 16:30,0,45.0
ALORA_1630_1700,54405,ALORA,MÁLAGA,16:30 - 17:00,23,0.0
ALORA_1800_1830,54405,ALORA,MÁLAGA,18:00 - 18:30,0,30.0
ALORA_1830_1900,54405,ALORA,MÁLAGA,18:30 - 19:00,12,0.0
ALORA_1900_1930,54405,ALORA,MÁLAGA,19:00 - 19:30,0,22.0
ALORA_1930_2000,54405,ALORA,MÁLAGA,19:30 - 20:00,15,0.0
ALORA_2000_2030,54405,ALORA,MÁLAGA,20:00 - 20:30,0,46.0
ALORA_2030_2100,54405,ALORA,MÁLAGA,20:30 - 21:00,4,0.0
ALORA_2100_2130,54405,ALORA,MÁLAGA,21:00 - 21:30,0,15.0
ALORA_2130_2200,54405,ALORA,MÁLAGA,21:30 - 22:00,1,0.0
ALORA_2200_2230,54405,ALORA,MÁLAGA,22:00 - 22:30,0,7.0
ALORA_2230_2300,54405,ALORA,MÁLAGA,22:30 - 23:00,2,0.0
PIZARRA_0630_0700,54406,PIZARRA,MÁLAGA,06:30 - 07:00,37,0.0
PIZARRA_0730_0800,54406,PIZARRA,MÁLAGA,07:30 - 08:00,3,3.0
PIZARRA_0800_0830,54406,PIZARRA,MÁLAGA,08:00 - 08:30,28,0.0
PIZARRA_0830_0900,54406,PIZARRA,MÁLAGA,08:30 - 09:00,1,7.0
PIZARRA_0900_0930,54406,PIZARRA,MÁLAGA,09:00 - 09:30,44,1.0
PIZARRA_1000_1030,54406,PIZARRA,MÁLAGA,10:00 - 10:30,0,7.0
PIZARRA_1100_1130,54406,PIZARRA,MÁLAGA,11:00 - 11:30,25,0.0
